Title,Category,Subcategory,MRP,DMart Price,Discount,Quantity,Unit Price,Product URL,Is DMart Exclusive
Caresmith Revive Electric Head Massager -Green :1 Unit,Uncategorized,,4200.0,4200.0,2901.0,,,https://www.dmart.in/product/caresmith-revive-electric-head-massager-green-pmassagers37xx130824?selectedProd=1610548,False
Macclite Non-Stick Aluminium Pentagon Gift Set - Red : Pack of 5,Uncategorized,,2470.0,2470.0,1471.0,,199.8,https://www.dmart.in/product/macclite-non-stick-aluminium-pentagon-gift-set-red-pnonstick17xx100924?selectedProd=1626544,False
Raymond Camphor Double Bedsheet 144 TC 11645 (02) - Motifs : 1 Unit,Bed & Bath,bed,2899.0,2899.0,1900.0,,,https://www.dmart.in/product/raymond-camphor-double-bedsheet-144-tc-11645-(02)-motifs-pdoublebedsheet52xx81024?selectedProd=1645104,False
The Art of War Spirituality  For Conflict By Sun Tzu : 1 Unit,Uncategorized,,275.0,275.0,76.0,,,https://www.dmart.in/product/the-art-of-war-spirituality-for-conflict-by-sun-tzu-pbooks0giip31xx260624?selectedProd=1595254,False
Toyshine Talking Tom Cat Toy For Kids - Grey : 1 Unit,Pet Supplies,cat,599.0,599.0,170.0,,,https://www.dmart.in/product/toyshine-talking-tom-cat-toy-for-kids-grey-pindoorgame0toys15xx80724?selectedProd=1599583,False
Mobilla MBUDS 533 TWS Earbuds (IPX4) - White : 1 Unit,Uncategorized,,2899.0,2899.0,1550.0,,,https://www.dmart.in/product/mobilla-mbuds-533-tws-earbuds-(ipx4)-white-pearphones11xx31024?selectedProd=1630666,False
Vega Glow Glam Hair Dryer (VHDH-26) Black : 1000W,Personal Care & Beauty,hair,899.0,899.0,200.0,,,https://www.dmart.in/product/vega-glow-glam-hair-dryer-(vhdh-26)-black-phairdriers0vega35xx60624?selectedProd=1582564,False
The Theory Of Everything By Stephen W Hawking : 1 Unit,Uncategorized,,225.0,225.0,66.0,,,https://www.dmart.in/product/the-theory-of-everything-by-stephen-w-hawking-pbooks0giip53xx260624?selectedProd=1595276,False
Jaipan Prince Mixer & Grinder - 850 W (Green) 3 Jars : 1 Unit,Uncategorized,,4695.0,4695.0,2696.0,,,https://www.dmart.in/product/jaipan-prince-mixer---grinder--850w---green-pjmg0jaip11xx160224?selectedProd=1476053,False
Who Will Cry When You Die? By Robin Sharma : 1 Unit,Uncategorized,,250.0,250.0,71.0,,,https://www.dmart.in/product/who-will-cry-when-you-die-by-robin-sharma-pbooks0giip59xx260624?selectedProd=1595282,False
Bergner Non-Stick Induction Base Sherry Plus Cookware Set (Red) - 6 Pieces : 1 Unit,Uncategorized,,5500.0,5500.0,3901.0,,,https://www.dmart.in/product/bergner-non-stick-induction-base-sherry-plus-cookware-set-(red)-6-pieces-pnonstick1xx131024?selectedProd=1643156,False
Portronics Pixel Portable Bluetooth 8W Speaker : 1 Unit,Uncategorized,,2999.0,2999.0,1500.0,,,https://www.dmart.in/product/portronics-pixel-portable-bt-speaker-pspeakers0potr3xx110522?selectedProd=1032017,False
Zlade Ballistic Pro Full-Body Manscaping Trimmer With Ceramic Blades - Black : 1 Unit,Lighting & Electrical,pin,2999.0,2999.0,1000.0,,,https://www.dmart.in/product/zlade-ballistic-pro-full-body-manscaping-trimmer-with-ceramic-blades-black-ptrimmer0zlad3xx50424?selectedProd=1489514,False
The Law Of Attraction By Mitesh Khatri & Indu Khatri : 1 Unit,Uncategorized,,299.0,299.0,90.0,,,https://www.dmart.in/product/the-law-of-attraction-by-mitesh-khatri-indu-khatri-pbooks0giip43xx260624?selectedProd=1595266,False
Bergner Non-Stick Induction Base Dahlia Cookware Set (Green) - 3 Pieces : 1 Unit,Uncategorized,,2995.0,2995.0,1000.0,,,https://www.dmart.in/product/bergner-non-stick-induction-base-dahlia-cookware-set-(green)-3-pieces-pnonstick2xx131024?selectedProd=1643157,False
Pigeon ESS Non-Stick Gift Set - Red : 7 Pieces,Uncategorized,,2995.0,2995.0,1796.0,7 pcs,,https://www.dmart.in/product/pigeon-ess-nstick-red-gift-set-:-7-pieces-pnonstick0pige3xx25919?selectedProd=575008,False
Philips HP8302/06 Hair Straightener : 1 Unit,Personal Care & Beauty,hair,1495.0,1495.0,246.0,,,https://www.dmart.in/product/philips-hp8302-06-hair-straightener-ptrimmer0phil47xx280920?selectedProd=778538,False
Portronics Buzz Portable Bluetooth 5W Speaker : 1 Unit,Uncategorized,,1999.0,1999.0,1100.0,,,https://www.dmart.in/product/portronics-buzz-portable-bluetooth-speaker-pspeakers0port1xx20522?selectedProd=1032003,False
The Greatest Salesman In The World By OG Mandino : 1 Unit,Uncategorized,,199.0,199.0,60.0,,,https://www.dmart.in/product/the-greatest-salesman-in-the-world-by-og-mandino-pbooks0giip35xx260624?selectedProd=1595258,False
Trident Moments Double Bedsheet (FRPK) 120 TC - Floral Pink (228x254 cm) : 1 Unit,Lighting & Electrical,pin,2499.0,2499.0,1500.0,,,https://www.dmart.in/product/trident-moments-double-bedsheet-(frpk)-120-tc-floral-pink-(228x254-cm)-pdoublebedsheet78xx71024?selectedProd=1641568,False
Stainless Steel Idli Maker with Lid : 1 Unit,Uncategorized,,900.0,900.0,501.0,,,https://www.dmart.in/product/stainless-steel-idli-maker-with-lid-pnonstick003xx13819?selectedProd=555001,False
Ambrane Dots XS Wireless Earphones : 1 Unit,Uncategorized,,1799.0,1799.0,800.0,,,https://www.dmart.in/product/ambrane-dots-xs-wireless-earphone-1u-pearphones0ambr23xx250422?selectedProd=1033008,False
Home Zone by Kitchen Essentials Stainless Steel Triply Cookware Set : 3 Pieces,Home Decor,kitchen,4990.0,4990.0,3491.0,3 Pcs,,https://www.dmart.in/product/home-zone-by-kitchen-essentials-stainless-steel-triply-cookware-set-pnonstick0home1xx121023?selectedProd=1154005,False
Pigeon Digital Healthifry Air Fryer (Green) - 4.2 Litres : 1200 W,Health & Wellness,health,5995.0,5995.0,2996.0,,,https://www.dmart.in/product/pigeon-digital-healthifry-air-fryer-(green)-42-litres-pfoodproces0pige7xx280524?selectedProd=1573025,False
A Million Thoughts By Om Swami : 1 Unit,Uncategorized,,450.0,450.0,131.0,,,https://www.dmart.in/product/-a-million-thoughts-by-om-swami-pbooks0giip1xx260624?selectedProd=1595224,False
Caresmith Spark one Electric Toothbrush -White :1 Unit,Cleaning Tools,brush,1100.0,1100.0,741.0,,,https://www.dmart.in/product/caresmith-spark-one-electric-toothbrush-white-ptoothbrushes34xx130824?selectedProd=1610543,False
Trident Moments Double Bedsheet (IVRD) 120 TC - Ivy Red (228x254 cm) : 1 Unit,Clothing,men,2499.0,2499.0,1500.0,,,https://www.dmart.in/product/trident-moments-double-bedsheet-(ivrd)-120-tc-ivy-red-(228x254-cm)-pdoublebedsheet81xx71024?selectedProd=1641571,False
Crompton Greaves Rhino Heavy Weight Iron : 1000 W,Uncategorized,,1550.0,1550.0,501.0,,,https://www.dmart.in/product/crompton-greaves-rhino-heavy-weight-iron-pdryirons0crom5xx070719?selectedProd=536504,False
Stainless Steel Modak Maker with Glass Lid : 1 Unit,Uncategorized,,1280.0,1280.0,681.0,,,https://www.dmart.in/product/stainless-steel-modak-maker-with-glass-lid-pnonstick001xx13819?selectedProd=554501,False
Zlade Ballistic TURBO 3.0 Full-Body Manscaping Trimmer For Men - Black : 1 Unit,Lighting & Electrical,pin,3999.0,3999.0,1600.0,,,https://www.dmart.in/product/zlade-ballistic-turbo-30-full-body-manscaping-trimmer-for-men-black-ptrimmer0zlad1xx50424?selectedProd=1489513,False
Mossad The Greatest Missions By Michael Bar-Zohar & Nissim Mishal : 1 Unit,Uncategorized,,450.0,450.0,131.0,,,https://www.dmart.in/product/mossad-the-greatest-missions-by-michael-bar-zohar-nissim-mishal-pbooks0giip21xx260624?selectedProd=1595244,False
Trident Comfort Living Double Bedsheet (AJBL) 120TC - Blue (228x254 cm) : 1 Unit,Bed & Bath,bed,1799.0,1799.0,900.0,,,https://www.dmart.in/product/trident-comfort-living-double-bedsheet-(ajbl)-120tc-blue-(228x254-cm)-pdoublebedsheet86xx81024?selectedProd=1643186,False
Home Zone Triply Stainless Steel Kadai - 22 cms : 1 Unit,Uncategorized,,2200.0,2200.0,1451.0,,,https://www.dmart.in/product/steel-triply-kadai--pkadai0home11xx51022?selectedProd=1154004,False
Warren Buffett Success Secrets By George Ilian : 1 Unit,Uncategorized,,199.0,199.0,50.0,,,https://www.dmart.in/product/warren-buffett-success-secrets-by-george-ilian-pself-help13xx60824?selectedProd=1612033,False
Trident Comfort Living Double Bedsheet (DNMR) 120TC - Maroon (228x254 cm) : 1 Unit,Bed & Bath,bed,1799.0,1799.0,900.0,,,https://www.dmart.in/product/trident-comfort-living-double-bedsheet-(dnmr)-120tc-maroon-(228x254-cm)-pdoublebedsheet89xx81024?selectedProd=1643189,False
Geep Vintage Dry Iron - Cherry Red - 1000 W : 1 Unit,Uncategorized,,699.0,699.0,340.0,,,https://www.dmart.in/product/geep-vintage-dry-iron-cherry-red-pdryirons0geep3xx290524?selectedProd=1573027,False
The Leader Who Had No Title By Robin Sharma : 1 Unit,Uncategorized,,299.0,299.0,90.0,,,https://www.dmart.in/product/the-leader-who-had-no-title-by-robin-sharma-pbooks0giip47xx260624?selectedProd=1595270,False
Trident Comfort Living Double Bedsheet (MLPK) 120TC - Pink (228x254 cm) : 1 Unit,Lighting & Electrical,pin,1799.0,1799.0,900.0,,,https://www.dmart.in/product/trident-comfort-living-double-bedsheet-(mlpk)-120tc-pink-(228x254-cm)-pdoublebedsheet91xx81024?selectedProd=1643191,False
Home Zone Triply Stainless Steel Kadai - 24 cms : 1 Unit,Uncategorized,,2700.0,2700.0,1901.0,,,https://www.dmart.in/product/steel-triply-fry-pan--pkadai0home9xx51022?selectedProd=1154503,False
Vega Style Pro Hair Dryer (VHDH-27) Purple : 1000W,Personal Care & Beauty,hair,999.0,999.0,220.0,,,https://www.dmart.in/product/vega-style-pro-hair-dryer-(vhdh-27)-purple-phairdriers0vega37xx60624?selectedProd=1582565,False
M S Dhoni Captain Cool Ayaz Memon By Indranil Rai : 1 Unit,Uncategorized,,175.0,175.0,36.0,,,https://www.dmart.in/product/m-s-dhoni-captain-cool-ayaz-memon-by-indranil-rai-pbiography-memoir33xx60824?selectedProd=1612053,False
Kent Crisp Pop Up 2 Slice Toaster (116105) - White : 750 W,Uncategorized,,2600.0,2600.0,1575.0,,,https://www.dmart.in/product/kent-crisp-pop-up-2-slice-toaster-(116105)-white-ptoasters17xx60824?selectedProd=1611577,False
