product_id,title,brand,description,category_main,category_sub,price_mrp,price_selling,discount_percentage,discount_amount,quantity,unit,unit_price,stock_count,is_available,is_emergency,status,image_url,product_url,created_at,updated_at
,Tru Note Longbook Ruled A4 - 284 Pages : 1 Unit,,,Books & Stationery,book,130.0,130.0,33.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/trunote-longbook-ruled-a4-284pgs-pnotebooks0trun1xx22419?selectedProd=476501,,,0.0,False,False
,Tru Note Longbook Regular - 172 Pages : 1 Unit,,,Books & Stationery,book,60.0,60.0,15.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/trunote-regular-long-book-172-pages?selectedProd=125502,,,0.0,False,False
,Freedom Longbook Regular - 172 Pages : 1 Unit,,,Books & Stationery,book,60.0,60.0,15.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/freedom-longbook-regular-pnotebooks0free39xx20620?selectedProd=678502,,,0.0,False,False
,Doms Single Line A4 Size Notebook - 200 Pages : 1 Unit,,,Books & Stationery,book,100.0,100.0,15.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/doms-single-line-a4-note-book---200-pgs-pnotebooksdom13xx10518?selectedProd=300501,,,0.0,False,False
,Tru Note Longbook A4 - 140 Pages : 1 Unit,,,Books & Stationery,book,65.0,65.0,17.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/trunote-a4-size-long-book-140-pages-1?selectedProd=125501,,,0.0,False,False
,Doms Single Line A5 Note Book - 172 Pages : 1 Unit,,,Books & Stationery,book,65.0,65.0,10.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/doms-sigle-line-a5-pnotebooks0doms21xx14419?selectedProd=476001,,,0.0,False,False
,Doms Single Line A4 Size Notebook - 140 Pages : 1 Unit,,,Books & Stationery,book,75.0,75.0,12.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/doms-single-line-a4-note-book---148-pgs-pnotebooksdom9xx10518?selectedProd=300502,,,0.0,False,False
,Navneet All In One Board Book (English) : 1 Unit,,,Books & Stationery,book,360.0,360.0,71.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/navneet-all-in-one-board-book-(eng)-pdrwaccs0navn13xx60821?selectedProd=842014,,,0.0,False,False
,Doms Single Line Regular Notebook - 172 Pages : 1 Unit,,,Books & Stationery,book,65.0,65.0,10.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/doms-sigle-line-regular-note-book---172-pgs-pnotebooksdom5xx10518?selectedProd=300503,,,0.0,False,False
,Anupam Eminent A5 Notebook (5 Subjects) - 300 Pages : 1 Unit,,,Books & Stationery,book,250.0,250.0,41.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/anupam-eminent-a5-5sub-notebook-pnotebooks0anup5xx30319?selectedProd=464503,,,0.0,False,False
,ITC Classmate A5 Unruled Notebook - 172 Pages : 3 Books,,,Books & Stationery,book,180.0,180.0,36.0,0.0,,48.0,0.0,,,https://www.dmart.in/product/itc-classmate-a5-unruled-notebook---172-pages-pnotebooks0itc19xx221020?selectedProd=785529,,,0.0,False,False
,Archies Spiral Evil-Eye Single Line Notebook (192 Pages) : 1 Unit,,,Books & Stationery,book,199.0,199.0,50.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/archies-spiral-evil-eye-single-line-notebook-(192-pages)-pnotebooks0arch57xx280624?selectedProd=1590089,,,0.0,False,False
,ITC Classmate A5 Notebook - 172 Pages : 3 Books,,,Books & Stationery,book,180.0,180.0,36.0,0.0,,48.0,0.0,,,https://www.dmart.in/product/itc-classmate-a5-notebook-172-pages-pnotebooks0itc13xx221020?selectedProd=785526,,,0.0,False,False
,Archies Spiral Corporate Attitude Single Line Notebook (160 Pages) : 1 Unit,,,Books & Stationery,book,249.0,249.0,70.0,0.0,,0.0,0.0,,,https://www.dmart.in/product/archies-spiral-corporate-attitude-single-line-notebook-(160-pages)-pnotebooks0arch49xx280624?selectedProd=1590085,,,0.0,False,False
