name,category,subcategory
Borosil Prime Grill Sandwich Maker - Grey : 1 Unit,,
Kent Crisp Pop Up 2 Slice Toaster (116105) - White : 750 W,,
Prestige Induction Cooktop - PIC 20.0 (1600 W) : 1 Unit,,
Anjali Diamond Dura Waffle Toaster : 1 Unit,,
Prestige Sandwich Toaster - 800 W : 1 Unit,,
Bajaj Deluxe Sandwich Toaster - SWX 3 : 800 W,,
Bajaj Majesty ICX Pearl Induction Cooktop : 1900 W,,
Wonderchef Sanjeev Kapoor Mini Plus Tandoor Maker : 750 W,,
Bajaj Majesty ICX 3 Induction Cooktop : 1400 W,,
Midea Innerchef Digital Air Fryer MF-CN40D2 - 1500 W : 1 Unit,,
Midea Air Fryer (MF-TN40E2 ) - 1600 W : 1 Unit,,
Pigeon Favourite Glass Top Gas Stove : 2 Burners,,
Suryaflame Stainless Steel Lotus LPG Gas Stove : 3 Burners,,
Butterfly Hippo Stainless Steel Gas Stove : 2 Burners,,
Prestige Magic Plus Glass Top Gas Stove : 3 Burners,,
Prestige Magic Plus Glass Top Gas Stove : 2 Burners,,
Glen Glass Top LPG Stove 1040 XL Junior Brass Burner - Black : 4 Burner,,
Glen Stainless Steel LPG Stove 1044 Brass Burner - Silver : 4 Burner,,
Glen Stainless Steel LPG Stove 1036  HF Brass Burner - Silver : 3 Burner,,
Butterfly Wave Stainless Steel Glass Top Gas Stove : 3 Burners,,
Glen Glass Top LPG Stove 1030 Brass Burner - Black : 3 Burner,,
Glen Stainless Steel LPG Stove 1020 Brass Burner - Silver : 2 Burner,,
Wonderchef Duralife Slim Glass Cooktop : 3 Burners,,
Glen Glass Top LPG Gas Stove 1022 XL Brass Burner - Black : 2 Burner,,
Wonderchef Crescent Electric Kettle (1350 W) - 1.5 L : 1 Unit,,
Prestige PKOSS Kettle : 1.5 Litres,,
Borosil Rio Kettle (1350 W) -  1.5 L : 1 Unit,,
Jaipan Stainless Steel Electric Kettle : 1.8 L,,
Pigeon Hot Kettle (Silver & Black) - 1.5 Litres : 1300 W,,
Kent Elegant Electric Glass Kettle (116052) : 1.8 L,,
Nouvetta Electric Smart Kettle - 1500 W (Red) 1.8 L : 1 Unit,Smart Home,Smart Devices
Nouvetta Electric Smart Kettle - 1500 W (Black) 1.8 L : 1 Unit,Smart Home,Smart Devices
Kent Gold Optima Water Purifier (11016) : 10 L,,
Kent Gold Storage Water Purifier (11014) : 20 L,,
Agaro Grand Egg And Poacher Boiler - 500 W : 1 Unit,Grocery & Food,Pantry Essentials
Philips Hair Dryer HP8142 : 1000 W,Personal Care,Beauty & Grooming
Vega 3 In 1 Hair Styler - VHSCC01 : 1 Unit,Personal Care,Beauty & Grooming
Caresmith Bloom Face & Body Hair Trimmer - Green :1 Unit,Personal Care,Beauty & Grooming
Caresmith Revive Electric Head Massager -Green :1 Unit,Personal Care,Health & Wellness
Vega Power Series P-1 Beard Trimmer ( VHTH-25 ) Green : 1 Unit,,
Caresmith Charge X Percussion Massage Gun -Black :1 Unit,,
Caresmith Charge Boost X Percussion Massage Gun -Dark Blue : 1 Unit,,
Nouvetta Bluetooth Digital Personal Smart Weighing Scale Machine : Black,Smart Home,Smart Devices
Caresmith Bloom Bikini Trimmer Plus -Purple :1 Unit,,
Caresmith Crew T -Blade Beard Trimmer - Blue :1 Unit,,
Eagle Multi Purpose Digital Weighing Scale (10 kg) - Sky Blue : 1 Unit,,
Eagle Electronic Personal Weighing Scale (180 kg) - Multi : 1 Unit,,
Zlade Ballistic TURBO 3.0 Full-Body Manscaping Trimmer For Men - Black : 1 Unit,Fashion & Accessories,Men's Fashion
Zlade Ballistic Pro Full-Body Manscaping Trimmer With Ceramic Blades - Black : 1 Unit,,
Eagle Portable Electronic Hanging Scale (50 kg) - Assorted  : 1 Unit,,
Zlade Ballistic Nose & Ear Hair Trimmer - Black : 1 Unit,Personal Care,Beauty & Grooming
Zlade Ballistic Lite Full-Body Trimmer with Extra Head - Black : 1 Unit,,
Agaro Electric Callus Remover CR1727 With 3 Head Rollers : 1 unit,,
Caresmith Crew Manscaping Trimmer - Blue :1 Unit,,
Zlade Summer Intimate Body Trimmer For Women - Pink : 1 Unit,Personal Care,Health & Wellness
Agaro Atom Electric Handheld Full Body Massager - 28 W : 1Unit,Personal Care,Health & Wellness
Ambrane Fitshot Sphere 1.28 Inches Smart Watch : Raven Black,Smart Home,Smart Devices
Beezy Stainless Steel Push Chopper : 1 Unit,,
Sealing Clip Bag : 12 Units,,
Crystal Stainless Steel Oil Pourer : 500 ml,Grocery & Food,Pantry Essentials
Crystal Stainless Steel Oil Pourer : 1 Litre,Grocery & Food,Pantry Essentials
Prestige Gas Lighter With Knife : 1 Unit,,
Bamboo Chopping Board (35 x 25 x 1.5 cm) : 1 Unit,,
Stainless Steel Tea Strainer : 1 Unit,,
Pigeon Handy Chopper Pro Mini - 400 ml : 1 Unit,,
Joyo Oil Can - Blue : 1 Litre,Grocery & Food,Pantry Essentials
Anjali Gas Round Trolley - Super : 1 Unit,,
Anjali Stainless Steel Gas Lighter Dura : 1 Unit,,
