name,category,subcategory,mrp,dmart_price,unit
Wonderchef Egg Boiler : 350 W,Uncategorized,,1800.0,1800.0,
Femora Borosilicate Glass Oil Sprayer - Blue : 200 ml,Pet Supplies,cat,385.0,385.0,200 ml
Beezy Stainless Steel Juicy Glass Stand : 1 Unit,Uncategorized,,499.0,499.0,1 Unit
Beezy Alluminium Fruit Juicer : 1 Unit,Uncategorized,,1388.0,1388.0,1 Unit
Anjali Stainless Steel Puran Machine Deluxe With 5 Jali : 1 Unit,Uncategorized,,755.0,755.0,1 Unit
Small Steel Knife (08) : 1 Unit,Uncategorized,,77.0,77.0,1 Unit
D Homes Multi Tool Set - 6 Pieces : 1 Unit,Uncategorized,,555.0,555.0,1 Unit
Anjali Coconut Scraper (Premier) : 1 Unit,Uncategorized,,345.0,345.0,1 Unit
Beezy Plastic Spice Rack Set : 12 Pieces,Home Utility & Organisers,rack,1040.0,1040.0,
Princeware Maharaja Plastic Storage Basket (Blue) : 1 Unit,Home Utility & Organisers,storage,518.0,518.0,1 Unit
Beezy Plastic Spice Rack Set - 16 Piece : 1 Unit,Home Utility & Organisers,rack,1290.0,1290.0,1 Unit
Indigo Metalware Nylon + Steel Serving Spoons Set (Black) - 5 Piece : 1 Unit,Uncategorized,,759.0,759.0,
Steel Chef Knife - 6 inch : 1 Unit,Uncategorized,,135.0,135.0,1 Unit
Right Kitchen Cylinder Trolley -30.5X10X30.5 cm : 1 Unit,Bags & Accessories,trolley,280.0,280.0,1 Unit
Joyo Flexi Silicone Ice Cube Rectangular Tray - Red : 1 Unit,Lighting & Electrical,flex,349.0,349.0,1 Unit
Measuring Cup Set (Multicolour) - 6 Pieces : 1 Unit,Uncategorized,,80.0,80.0,
Femora Oval Acacia Wooden Chopping Board - Natural : 1 Unit,Lighting & Electrical,pin,600.0,600.0,1 Unit
Joyo Flexi Silicone Ice Cube Rectangular Tray - Blue : 1 Unit,Lighting & Electrical,flex,349.0,349.0,
Femora Rectangle Acacia Wooden Chopping Board - Natural :1 Unit,Lighting & Electrical,pin,550.0,550.0,1 Unit
All Time Plastic Multipurpose Big Scoop  : 2 Pieces,Uncategorized,,120.0,120.0,2 pc
Beezy Travelling Folding Knife - Assorted : 1 Unit,Uncategorized,,99.0,99.0,1 Unit
Priya Stainless Steel Omega 2 Shelf Plate & Cutlery Stand : 1 Unit,Uncategorized,,2250.0,2250.0,1 Unit
Beezy Stainless Steel Apple Cutter : 1 Unit,Uncategorized,,119.0,119.0,1 Unit
Indigo Metalware Stainless Steel Wire Pakad - Red Wire - 25 cm : 1 Unit,Uncategorized,,149.0,149.0,1 Unit
Indigo Metalware Stainless Steel Potato Masher - 24 cm : 1 Unit,Gardening,pot,198.0,198.0,1 Unit
Beezy Egg Cutter Plastic - Assorted : 1 Unit,Uncategorized,,149.0,149.0,1 Unit
Brass Bhog (Prasad) Serving Plate : 1 Unit,Uncategorized,,100.0,100.0,1 Unit
HAZEL Stainless Steel Coconut Scraper : 1 Unit,Uncategorized,,249.0,249.0,1 Unit
Indigo Metalware Stainless Steel Cocktail Shaker : 500 ml,Uncategorized,,248.0,248.0,500 ml
Priya Stainless Steel Multipurpose Penguine Square Basket : 1 Unit,Uncategorized,,1200.0,1200.0,1 Unit
Amson Multipurpose Plastic Funnel (Assorted) - Set of 2 : 1 Unit,Uncategorized,,80.0,80.0,
Femora Oil Dispenser Glass Bottle With Grey Silicone Brush : 350 ml,Cleaning Tools,brush,420.0,420.0,350 ml
Indigo Metalware Stainless Steel Serving Bucket : 350 ml,Uncategorized,,198.0,198.0,350 ml
Stainless Steel Pav Bhaji Plate - Oval Shape : 1 Unit,Uncategorized,,190.0,190.0,1 Unit
Nova Stainless Steel Baby Fork Set : 6 Units,Uncategorized,,149.0,149.0,6 Unit
Priya Stainless Steel Gas Trolley With Wheels - 12 Inches : 1 Unit,Bags & Accessories,trolley,1375.0,1375.0,1 Unit
All Time Plastic Beaute Strainer Decorative : 3 Pieces,Home Decor,decor,148.0,148.0,3 pc
Anjali Cut & Wash Chopping Board - Deluxe : 1 Unit,Lighting & Electrical,pin,465.0,465.0,1 Unit
Bergner Master Pro Stainless Steel Whisk - Black : 1 Unit,Uncategorized,,495.0,495.0,1 Unit
D Homes Stainless Steel Oil Kettle : 600 ml,Uncategorized,,245.0,245.0,600 ml
All Time Easy Chopping Board - Moonlight : 1 Unit,Lighting & Electrical,light,295.0,295.0,1 Unit
Nakshatra Stainless Steel See Through Cannister : 1 Litres,Uncategorized,,250.0,250.0,
KVG Kabab Stick - 15 cm : 50 Skewers,Uncategorized,,65.0,65.0,
Beezy Hot Mat With Stand - Red : 1 Unit,Uncategorized,,210.0,210.0,1 Unit
Stainless Steel Round Potato Masher With Wooden Handle : 1 Unit,Gardening,pot,99.0,99.0,1 Unit
Anjali Pizza Cutter : 1 Unit,Uncategorized,,55.0,55.0,1 Unit
Right Kitchen Oven Stand - 56X46X33 cm : 1 Unit,Home Decor,kitchen,1652.0,1652.0,1 Unit
Priya Stainless Steel Multipurpose Oval Dolphine Basket : 1 Unit,Uncategorized,,1200.0,1200.0,1 Unit
Wooden Knife (1.51mm) : 1 Unit,Uncategorized,,155.0,155.0,1 Unit
KVG Kabab Stick - 20 cm : 50 Skewers,Uncategorized,,75.0,75.0,
D Homes Scissor Set (Xinyi) : 3 Pieces,Uncategorized,,170.0,170.0,3 pc
All Time  Precise Measuring Spoons  Multi Colour : 6 Pieces,Uncategorized,,90.0,90.0,6 pc
Joyo Better Home Homio Kitchen Basket : 1 Unit,Home Decor,kitchen,586.0,586.0,1 Unit
Joyo Capsule Pop Up Ice Tray With Lid - Blue : 1 Unit,Uncategorized,,174.0,174.0,
All Time Clubs Ice Tray - White : 1 Unit,Uncategorized,,170.0,170.0,1 Unit
Pinnacle Ice Brick - 330 ml (Blue) Set Of 2 : 1 Unit,Lighting & Electrical,pin,150.0,150.0,
Priya Stainless Steel Happy Home Plate Stand : 1 Unit,Uncategorized,,2250.0,2250.0,1 Unit
Karp Plastic Reusable Ice Popsicle (Kulfi Maker) - Pink : Set of 6,Lighting & Electrical,pin,499.0,499.0,6 Unit
Joyo Pop Up Ice Tray Round - Blue : 1 Unit,Uncategorized,,162.0,162.0,
Bergner Master Pro Stainless Steel Hand Grater - Silver : 1 Unit,Uncategorized,,495.0,495.0,1 Unit
Steel Knife (10) : 1 Unit,Uncategorized,,77.0,77.0,1 Unit
Femora Kitchen Storage Glass Jar With Steel Golden Lid : 700 ml,Home Utility & Organisers,storage,325.0,325.0,700 ml
Indigo Metalware Stainless Steel Tong - MTS7 - 24 cm : 1 Unit,Uncategorized,,98.0,98.0,1 Unit
Karp Plastic Reusable Ice Popsicle (Kulfi Maker) - Green : Set of 6,Uncategorized,,499.0,499.0,6 Unit
Candy Plastic Ice Tray : 2 Units,Uncategorized,,110.0,110.0,2 Unit
Stainless Steel Frying Tong : 1 Unit,Uncategorized,,165.0,165.0,1 Unit
Stainless Steel Big Strainer : 1 Unit,Uncategorized,,220.0,220.0,1 Unit
Disney  Joyo Flexi Ice Candy Round - Pink : 1 Unit,Lighting & Electrical,flex,231.0,231.0,
Dr.WaterR Stainless Steel Milk Frother : 400 ml,Uncategorized,,1499.0,1499.0,400 ml
Stainless Steel Gas Round Trolley : 1 Unit,Bags & Accessories,trolley,300.0,300.0,1 Unit
All Time Plastic Small Chopping Mat (320x250x2 mm) : 3 Pieces,Lighting & Electrical,pin,390.0,390.0,3 pc
Bergner Master Pro Stainless Steel Pizza Cutter : 1 Unit,Uncategorized,,495.0,495.0,1 Unit
Plastic Home Made Kulfi Maker - Assorted : 1 Unit,Uncategorized,,130.0,130.0,1 Unit
All Time XO Ice Tray - Grey : 1 Unit,Uncategorized,,170.0,170.0,1 Unit
Sevenstar Cotton Kitchen Apron - Brown : 1 Unit,Home Decor,kitchen,170.0,170.0,1 Unit
Sevenstar Cotton Kitchen Apron - Yellow : 1 Unit,Home Decor,kitchen,170.0,170.0,1 Unit
Japa Denim Kitchen Apron - A2-717 : 1 Unit,Home Decor,kitchen,285.0,285.0,1 Unit
Japa Denim Kitchen Apron - A4-719 : 1 Unit,Home Decor,kitchen,285.0,285.0,1 Unit
Sevenstar Cotton Kitchen Apron - Peacock Green : 1 Unit,Home Decor,kitchen,170.0,170.0,1 Unit
Japa Denim Kitchen Apron - A3-718 : 1 Unit,Home Decor,kitchen,285.0,285.0,1 Unit
Sevenstar Cotton Kitchen Apron - Blue : 1 Unit,Home Decor,kitchen,170.0,170.0,1 Unit
Japa Denim Kitchen Apron - A1-716 : 1 Unit,Home Decor,kitchen,285.0,285.0,1 Unit
Vaa Kitchen Utility Set (Blue) - 3 Pieces : 1 Unit,Home Utility & Organisers,utility,500.0,500.0,1 Unit
Vaa Kitchen Utility Set (Green) - 3 Pieces : 1 Unit,Home Utility & Organisers,utility,500.0,500.0,1 Unit
Vaa Kitchen Utility Set (Dark Grey) - 3 Pieces : 1 Unit,Home Utility & Organisers,utility,500.0,500.0,1 Unit
Vaa Kitchen Utility Set (Orange) - 3 Pieces : 1 Unit,Home Utility & Organisers,utility,500.0,500.0,1 Unit
Vaa Kitchen Utility Set (Light Grey) - 3 Pieces : 1 Unit,Home Utility & Organisers,utility,500.0,500.0,1 Unit
Scotch Brite Scrub Sponge Large : 3 Units,Uncategorized,,105.0,105.0,1 Unit
Scotch Brite Scrub Pad : 5 Units,Uncategorized,,75.0,75.0,1 Unit
Reflect Scrub Pads - 7.5x10 cm : 5 Units,Uncategorized,,70.0,70.0,1 Unit
Reflect Sponge Wipe - 20x17.5 cm : 5 Units,Uncategorized,,220.0,220.0,1 Unit
Reflect Stainless Steel Scrub : 1 Unit,Uncategorized,,20.0,20.0,1 Unit
Scotch Brite Stainless Steel Scrubber + Scrub Pad Combo : 1 Unit,Uncategorized,,40.0,40.0,1 Unit
Reflect Stainless Steel + Scrub Pad : 1 Unit,Uncategorized,,30.0,30.0,1 Unit
Scotch-Brite Scrub Pad 9.5x14 cm : 3 Units,Uncategorized,,95.0,95.0,1 Unit
Gala Scrub Pad : 5 Units,Uncategorized,,85.0,85.0,1 Unit
Gala Super Scrub : 2 Units,Uncategorized,,85.0,85.0,1 Unit
Scotch Brite Steel Scrubber : 3 Units,Uncategorized,,150.0,150.0,1 Unit
Gala Double Hockey Toilet Brush : 1 Unit,Cleaning Tools,brush,170.0,170.0,1 Unit
Force 10 Double Sided Hockey Toilet Brush : 1 Unit,Cleaning Tools,brush,149.0,149.0,1 Unit
Scotch-Brite Jet Scrubber : 1 Unit,Uncategorized,,160.0,160.0,1 Unit
