name,category,sub-category,price,unit,image,status,stock_count
Pro Nature 100% Organic Moong Yellow : 500 gm,,Flours & Grains,158,500 g,/api/placeholder/200/200,active,100
Tata Sampann Toor Dal (Kandi Pappu) : 1 kg,,Dals & Pulses,276,1 kg,/api/placeholder/200/200,active,100
Nutraj Pista : 400 gms,,Dry Fruits,699,400 g,/api/placeholder/200/200,active,100
,,,,,,,
Tata Sampann 100% Organic Unpolished Toor Dal (Kandi Pappu) : 1 kg,,Dals & Pulses,370,1 kg,/api/placeholder/200/200,active,100
ProV Select California Roasted & Salted Pistachios : 400 gms,,Dry Fruits,799,400 g,/api/placeholder/200/200,active,100
Organic Tattva Arhar Tur Dal : 1 kg,,Dals & Pulses,365,1 kg,/api/placeholder/200/200,active,100
Pista Plain (Pistachios) : 100 gms,,Dry Fruits,333,100 g,/api/placeholder/200/200,active,100
Parry's Toor Dal Unpolished : 1 kg,,Dals & Pulses,280,1 kg,/api/placeholder/200/200,active,100
Tenali Double Horse Toor Dall : 1 kgs,,Dals & Pulses,275,1 kg,/api/placeholder/200/200,active,100
Nutraj California Pistachios (Pista) : 200 gms,,Dry Fruits,379,200 g,/api/placeholder/200/200,active,100
,,,,,,,
Nutrela Soya Mini Chunks : 200 gms,,Flours & Grains,60,200 g,/api/placeholder/200/200,active,100
VSR Toor Dal : 2 kgs,,Dals & Pulses,480,2 kg,/api/placeholder/200/200,active,100
Saffola Mealmaker Soya Chunks : 400 gms,,Dals & Pulses,150,400 g,/api/placeholder/200/200,active,100
VSR Toor Dal : 1 kg,,Dals & Pulses,245,1 kg,/api/placeholder/200/200,active,100
Nutrela Soya Chunks : 200 gms,,Dry Fruits,60,200 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
Nutraj Iranian Pistachios (Pista) : 200 gms,,Dry Fruits,449,200 g,/api/placeholder/200/200,active,100
Nutrela Soya Granules : 200 gms,,Flours & Grains,60,200 g,/api/placeholder/200/200,active,100
24 Mantra Organic Tur Dal (Kandi Pappu) : 500 gms,,Dals & Pulses,180,500 g,/api/placeholder/200/200,active,100
Prov Select California Pistachio Roasted & Salted : 750 g,,Dry Fruits,1499,750 g,/api/placeholder/200/200,active,100
Nutrela Soya Chunks: 1 kg,,Dry Fruits,210,1 kg,/api/placeholder/200/200,active,100
Pro Nature Tur Dal Unpolished : 500 g,,Dals & Pulses,176,500 g,/api/placeholder/200/200,active,100
,,,,,,,
Tata Sampann Urad Dal (Minapa pappu) : 1 kg,,Dals & Pulses,249,1 kg,/api/placeholder/200/200,active,100
Tenali Double Horse Urad Dal (Minapa Pappu) : 1 kg,,Dals & Pulses,190,1 kg,/api/placeholder/200/200,active,100
Nutraj Arabian Dates : 500 gms,,Dry Fruits,199,500 g,/api/placeholder/200/200,active,100
Udid Dal Chilti (Minapa pappu) : 500 gms,,Dals & Pulses,105,500 g,/api/placeholder/200/200,active,100
Shamim Iranian Wet Dates : 400 gms,,Dry Fruits,210,400 g,/api/placeholder/200/200,active,100
,,,,,,,
Date Crown Fard (Khajur) : 500 gms,,Dry Fruits,315,500 g,/api/placeholder/200/200,active,100
Kimia Seeded Dates : 400 gms,,Dry Fruits,310,400 g,/api/placeholder/200/200,active,100
Organic Tattva Kabuli Chana : 500 gms,,Flours & Grains,199,500 g,/api/placeholder/200/200,active,100
Nutraj Kimia Dates : 400 gm,,Dry Fruits,399,400 g,/api/placeholder/200/200,active,100
Date Crown Khenaizi (Khajur) : 500 gms,,Dry Fruits,279,500 g,/api/placeholder/200/200,active,100
Red Dried Dates (Kharik) : 100 gms,,Dry Fruits,89,100 g,/api/placeholder/200/200,active,100
Nutraj Kalmi Dates (Safawi) : 500 gms,,Dry Fruits,749,500 g,/api/placeholder/200/200,active,100
Vijayalakshmi Deer Urad Dal (Minapa pappu) : 1 kg,,Dals & Pulses,198,1 kg,/api/placeholder/200/200,active,100
Farmley Dates Bites : 18 gms,,Dry Fruits,40,18 g,/api/placeholder/200/200,active,100
Lion Deseeded Dates (Khajur) : 500 gms,,Dry Fruits,145,500 g,/api/placeholder/200/200,active,100
Royal Crown Arabian Delight Luxury Dates : 500 gm,,Dry Fruits,270,500 g,/api/placeholder/200/200,active,100
Nutraj Dry Dates (Yellow) Chuara-Kharek Pouch : 500 gms,,Dry Fruits,299,500 g,/api/placeholder/200/200,active,100
Date Crown Kalmi Safawi Dates : 500 gms,,Dry Fruits,400,500 g,/api/placeholder/200/200,active,100
Date Crown Bumaan Dates : 500 gms,,Dry Fruits,155,500 g,/api/placeholder/200/200,active,100
