name,category,subcategory,mrp,dmart_price,unit
Sabhyata Buddha Design ST150-03 Tote Bag (Black): 1 Unit,Bags & Accessories,bag,600.0,600.0,
GG By Baggit LXE Odiya E Floater Handbag - Emerald Green : 1 Unit,Bags & Accessories,bag,3190.0,3190.0,
GG By Baggit LXE Galore E Ashlyn Handbag - Black : 1 Unit,Bags & Accessories,bag,2290.0,2290.0,
GG By Baggit LXE Mova E Ashyln Handbag - Jade Green : 1 Unit,Bags & Accessories,bag,2590.0,2590.0,
GG By Baggit Lpxe Tippet Penpagon 1 Sling Bag - Mauve Pink : 1 Unit,Pet Supplies,pet,2290.0,2290.0,
GG By Baggit Lxe Econo E Ashlyn Sling Bag Biscuit - Beige : 1 Unit,Bags & Accessories,bag,2590.0,2590.0,
GG By Baggit Lpxe Lyrics Hh Clone Sling Bag - Grey : 1 Unit,Bags & Accessories,bag,1490.0,1490.0,
Sabhyata Elephant Design SS07-04 Sling Bag (Red): 1 Unit,Bags & Accessories,bag,990.0,990.0,
GG By Baggit Lxe Econo E Ashyln Sling Bag - Teal Green : 1 Unit,Bags & Accessories,bag,2590.0,2590.0,
Misswish Women's Printed Tote Bag - Green : 1 Unit,Bags & Accessories,bag,900.0,900.0,
Misswish Women's Printed Tote Bag - Black : 1 Unit,Bags & Accessories,bag,850.0,850.0,
Misswish Women's Printed Tote Bag - Red : 1 Unit,Bags & Accessories,bag,1200.0,1200.0,
Misswish Women's Printed Tote Bag - Tidal Wave : 1 Unit,Bags & Accessories,bag,950.0,950.0,
Misswish Women's Printed Tote Bag - Maroon : 1 Unit,Bags & Accessories,bag,900.0,900.0,
Sabhyata Mandala Design SP2-07 Multipurpose Pouch (Yellow): 1 Unit,Uncategorized,,500.0,500.0,
Sabhyata Buddha Design SP1-03 Multipurpose Pouch (Black): 1 Unit,Uncategorized,,350.0,350.0,
Sabhyata Buddha Design SW4-03 Women's Wallet (Black): 1 Unit,Bags & Accessories,wallet,600.0,600.0,
Cops Leather Wallet - Brown (22) : 1 Unit,Bags & Accessories,wallet,550.0,550.0,
Cops Leather Wallet - Tan (4) : 1 Unit,Bags & Accessories,wallet,550.0,550.0,
Cops Leather Wallet - Brown (70) : 1 Unit,Bags & Accessories,wallet,499.0,499.0,
Cops Leather Wallet - Brown (67) : 1 Unit,Bags & Accessories,wallet,550.0,550.0,
Cops Leather Wallet - Brown (23) : 1 Unit,Bags & Accessories,wallet,550.0,550.0,
Cops Leather Wallet - Black (74) : 1 Unit,Bags & Accessories,wallet,550.0,550.0,
Cops Leather Wallet - Black (13) : 1 Unit,Bags & Accessories,wallet,550.0,550.0,
Cops Leather Wallet - Black (83) : 1 Unit,Bags & Accessories,wallet,499.0,499.0,
Cops Leather Wallet - Brown (Mc02) : 1 Unit,Bags & Accessories,wallet,460.0,460.0,
Cops Leather Wallet - Black (46) : 1 Unit,Bags & Accessories,wallet,499.0,499.0,
Brodees TriColour Printed Adjustable Unisex Cap : 1 Unit,Uncategorized,,149.0,149.0,
Cops Foam Single Side Black Belt (Ss35Rondo) : Size 42-44,Uncategorized,,299.0,299.0,
Cops Italian Reversible Leather Black & Brown Belt (Al35Net) : Size 42-44,Uncategorized,,799.0,799.0,
Cops Leather Single Side Black Belt (Lcovblk40) : Size 42-44,Uncategorized,,599.0,599.0,
Cops Italian Reversible Leather Black & Brown Belt (Al35Mild) : Size 42-44,Uncategorized,,799.0,799.0,
Cops Stretchable Black Belt (Elastic35Blk) : 1 Unit,Uncategorized,,399.0,399.0,
Cops Italian Reversible Leather Black & Brown Belt (Rk35Lipari) : Size 42-44,Uncategorized,,799.0,799.0,
Cops Reversible Foam Black & Brown Belt (Al35Braid) : Size 42-44,Uncategorized,,399.0,399.0,
Cops Italian Reversible Leather Black & Brown Belt (Rk35Rondo) : Size 42-44,Uncategorized,,799.0,799.0,
Cops Stretchable Green Belt (Elastic35Grn) : 1 Unit,Uncategorized,,399.0,399.0,
Cops Leather Single Side Black Belt (Stichblk40) : Size 42-44,Uncategorized,,599.0,599.0,
Cops Foam Single Side Brown Belt (Ss35Texas) : Size 42-44,Uncategorized,,299.0,299.0,
Cops Leather Single Side Brown Belt (Lcovbrn40) : Size 42-44,Uncategorized,,599.0,599.0,
Cops Leather Single Side Brown Belt (Stichbrn40) : Size 42-44,Uncategorized,,599.0,599.0,
Cops Reversible Foam Black & Brown Belt (Rk35Alce) : Size 42-44,Uncategorized,,399.0,399.0,
Cops Reversible Foam Black & Brown Belt (Rk35Texas) : Size 42-44,Uncategorized,,399.0,399.0,
