product_id,title,brand,description,category_main,category_sub,price_mrp,price_selling,discount_percentage,discount_amount,quantity,unit,unit_price,stock_count,is_available,status,image_url,product_url,created_at,updated_at
,,,,Uncategorized,,3995.0,3995.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,8995.0,8995.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,10695.0,10695.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,7665.0,7665.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,9120.0,9120.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,7495.0,7495.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,4595.0,4595.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,8000.0,8000.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,6395.0,6395.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1600.0,1600.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1445.0,1445.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1440.0,1440.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1895.0,1895.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1045.0,1045.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,2000.0,2000.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1695.0,1695.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1695.0,1695.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,2000.0,2000.0,,,,,,False,,,,,,0.0
,,,,Home Utility & Organisers,storage,3400.0,3400.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,2199.0,2199.0,,,1 Unit,,,False,,,,,,0.0
,,,,Personal Care & Beauty,hair,995.0,995.0,,,,,,False,,,,,,0.0
,,,,Personal Care & Beauty,hair,1999.0,1999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Personal Care & Beauty,hair,2300.0,2300.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,4200.0,4200.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,999.0,999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,5400.0,5400.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,3900.0,3900.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2695.0,2695.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,3000.0,3000.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2500.0,2500.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,999.0,999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Electronics & Appliances,electronic,1999.0,1999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,pin,3999.0,3999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,pin,2999.0,2999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Electronics & Appliances,electronic,899.0,899.0,,,1 Unit,,,False,,,,,,0.0
,,,,Personal Care & Beauty,hair,999.0,999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2798.0,2798.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1299.0,1299.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,pin,2500.0,2500.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,pin,2999.0,2999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1995.0,1995.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,4999.0,4999.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,448.0,448.0,,,1 Unit,,,False,,,,,,0.0
,,,,Bags & Accessories,bag,66.0,66.0,,,12 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,445.0,445.0,,,500 ml,,,False,,,,,,0.0
,,,,Uncategorized,,595.0,595.0,,,,,,False,,,,,,0.0
,,,,Lighting & Electrical,light,145.0,145.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,pin,260.0,260.0,,,5 cm,,,False,,,,,,0.0
,,,,Uncategorized,,69.0,69.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,695.0,695.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,149.0,149.0,,,1 Unit,,,False,,,,,,0.0
,,,,Bags & Accessories,trolley,225.0,225.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,light,150.0,150.0,,,1 Unit,,,False,,,,,,0.0
,,,,Home Decor,kitchen,695.0,695.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1495.0,1495.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,545.0,545.0,,,3 pc,,,False,,,,,,0.0
,,,,Lighting & Electrical,light,220.0,220.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1183.0,1183.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,570.0,570.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1185.0,1185.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,110.0,110.0,,,2 pc,,,False,,,,,,0.0
,,,,Cleaning Tools,brush,110.0,110.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,275.0,275.0,,,20 pc,,,False,,,,,,0.0
,,,,Lighting & Electrical,pin,250.0,250.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,129.0,129.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,169.0,169.0,,,3 pc,,,False,,,,,,0.0
,,,,Home Utility & Organisers,utility,225.0,225.0,,,3 pc,,,False,,,,,,0.0
,,,,Uncategorized,,249.0,249.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,149.0,149.0,,,6 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,light,109.0,109.0,,,3 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,495.0,495.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,119.0,119.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,140.0,140.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,499.0,499.0,,,1 Unit,,,False,,,,,,0.0
,,,,Bags & Accessories,trolley,450.0,450.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,pin,135.0,135.0,,,9 cm,,,False,,,,,,0.0
,,,,Lighting & Electrical,pin,110.0,110.0,,,9 cm,,,False,,,,,,0.0
,,,,Uncategorized,,500.0,500.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,369.0,369.0,,,3 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,250.0,250.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,248.0,248.0,,,250 ml,,,False,,,,,,0.0
,,,,Uncategorized,,340.0,340.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,209.0,209.0,,,1 Unit,,,False,,,,,,0.0
,,,,Clothing,cloth,130.0,130.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,275.0,275.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1449.0,1449.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,49.0,49.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,425.0,425.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,49.0,49.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,160.0,160.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,265.0,265.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,99.0,99.0,,,3 pc,,,False,,,,,,0.0
,,,,Uncategorized,,449.0,449.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,800.0,800.0,,,900 ml,,,False,,,,,,0.0
,,,,Home Utility & Organisers,storage,518.0,518.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,344.0,344.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,100.0,100.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,289.0,289.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,150.0,150.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,100.0,100.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,649.0,649.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,299.0,299.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,299.0,299.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,559.0,559.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,229.0,229.0,,,1 Unit,,,False,,,,,,0.0
,,,,Pet Supplies,cat,600.0,600.0,,,500 ml,,,False,,,,,,0.0
,,,,Uncategorized,,170.0,170.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,595.0,595.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,657.0,657.0,,,3 pc,,,False,,,,,,0.0
,,,,Uncategorized,,163.0,163.0,,,1 Unit,,,False,,,,,,0.0
,,,,Bags & Accessories,trolley,2500.0,2500.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1179.0,1179.0,,,1 Unit,,,False,,,,,,0.0
,,,,Home Utility & Organisers,utility,839.0,839.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,88.0,88.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,289.0,289.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,200.0,200.0,,,1 Unit,,,False,,,,,,0.0
,,,,Cleaning Tools,cleaning,110.0,110.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,345.0,345.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,199.0,199.0,,,2 pc,,,False,,,,,,0.0
,,,,Uncategorized,,390.0,390.0,,,1 Unit,,,False,,,,,,0.0
,,,,Home Utility & Organisers,storage,86.0,86.0,,,1 Unit,,,False,,,,,,0.0
