Title,Category,Subcategory,MRP,DMart Price,Discount,Quantity,Unit Price,Product URL,Is DMart Exclusive
Nykaa Naturals Saffron & Honey Glowing Face Wash : 100 ml,Uncategorized,,159.0,159.0,56.0,100 ml,1.03,./personalcarebeauty_files/AUG140003657xx6AUG22_5_P.jpg,False
Pilgrim Tea Tree Purifying Gel Face Wash : 100 ml,Uncategorized,,250.0,250.0,125.0,100 ml,1.25,./personalcarebeauty_files/APR140005456xx15APR24_5_P.jpg,False
Himalaya Kesar Face Wash : 150 ml,Uncategorized,,240.0,240.0,18.0,150 ml,1.48,./personalcarebeauty_files/SEP140000388xx21SEP23_5_P.jpg,False
Aqualogica Detan+ Face Wash - Cherry Tomato & Glycolic Acid : 100 ml,Uncategorized,,249.0,249.0,30.0,100 ml,2.19,./personalcarebeauty_files/MAR140005558xx21MAR24_5_P.jpg,False
Nykaa Naturals Tea Tree & Neem Purifying Face Wash : 100 ml,Uncategorized,,159.0,159.0,64.0,100 ml,0.95,./personalcarebeauty_files/SEP140003656xx14SEP22_5_P.jpg,False
Pilgrim 24K Gold Gel Face Wash : 80 ml,Uncategorized,,395.0,395.0,198.0,80 ml,2.46,./personalcarebeauty_files/APR140005460xx15APR24_5_P.jpg,False
Mamaearth Charcoal Face Wash For Oil Control : 100 ml,Uncategorized,,259.0,259.0,100.0,100 ml,1.59,./personalcarebeauty_files/JUN140003498xx29JUN22_5_P.jpg,False
WOW Skin Science Activated Charcoal Face Wash Tube : 100 ml,Uncategorized,,259.0,259.0,130.0,100 ml,1.29,./personalcarebeauty_files/JAN140004454xx30JAN23_5_P.jpg,False
VLCC Serum Face Wash Salicylic Acid Serum & Neem : 100 ml,Uncategorized,,165.0,165.0,83.0,100 ml,0.82,./personalcarebeauty_files/FEB140005462xx13FEB23_5_P.jpg,False
Lotus Herbals Neemwash Neem & Clove Face Wash : 120 gms,Uncategorized,,235.0,235.0,106.0,120 g,1.07,./personalcarebeauty_files/JUN140003456xx29JUN22_5_P.jpg,False
L'Oreal Paris Glycolic Bright Daily Foaming Face Cleanser : 100 ml,Uncategorized,,329.0,329.0,83.0,100 ml,2.46,./personalcarebeauty_files/JAN140004442xx5JAN23_5_P.jpg,False
Aqualogica Glow+ Smoothie Face Wash - Papaya & Vitamin C : 100 ml,Uncategorized,,249.0,249.0,30.0,100 ml,2.19,./personalcarebeauty_files/MAR140005554xx21MAR24_5_P.jpg,False
Clean & Clear Morning Energy Lemon Face Wash : 150 ml,Uncategorized,,260.0,260.0,25.0,150 ml,1.57,./personalcarebeauty_files/JAN140002045xx12JAN22_5_P.jpg,False
mCaffeine Coffee Foaming Face Wash : 75 ml,Uncategorized,,229.0,229.0,115.0,75 ml,1.52,./personalcarebeauty_files/MAY140004852xx3MAY23_5_P.jpg,False
Plum Turmeric & White Clay Acne Action Face Wash : 100 ml,Uncategorized,,249.0,249.0,20.0,100 ml,2.29,./personalcarebeauty_files/JUL140005121xx28JUL23_5_P.jpg,False
Himalaya Orange Face Wash : 100 ml,Uncategorized,,149.0,149.0,11.0,100 ml,1.38,./personalcarebeauty_files/MAY140002049xx12MAY23_5_P.jpg,False
VLCC Insta Glow Diamond Bleach : 60 gms,Uncategorized,,160.0,160.0,70.0,60 g,1.5,./personalcarebeauty_files/NOV140005309xx13NOV23_5_P.jpg,False
Himalaya Oil Clear Lemon Face Wash : 150 ml,Uncategorized,,240.0,240.0,50.0,150 ml,1.27,./personalcarebeauty_files/IFaceWash150mlHML1177XX290216_1_P.jpg,False
Lotus Herbals Jojobawash Face Wash : 120 gms,Uncategorized,,235.0,235.0,67.0,120 g,1.4,./personalcarebeauty_files/JUN140003457xx29JUN22_5_P.jpg,False
Dr. Rashel Vitamin C Face Wash : 100 ml,Uncategorized,,199.0,199.0,100.0,100 ml,0.99,./personalcarebeauty_files/SEP140005921xx18SEP24_5_P.jpg,False
Neutrogena Deep Clean Gentle Foaming Cleanser : 100 g,Uncategorized,,345.0,345.0,69.0,100 g,2.76,./personalcarebeauty_files/JUL140005747xx4JUL24_5_P.jpg,False
Aqualogica Radiance+ Face Wash - Watermelon & Niacinamide : 100 ml,Uncategorized,,249.0,249.0,30.0,100 ml,2.19,./personalcarebeauty_files/MAR140005555xx21MAR24_5_P.jpg,False
Greenleaf Aloe Face Wash Gel With Turmeric & Tea Tree Oil : 50 gm,Uncategorized,,65.0,65.0,30.0,50 g,0.7,./personalcarebeauty_files/APR140005594xx16APR24_5_P.jpg,False
Pond's Pure Detox Facewash : 50 gms,Uncategorized,,115.0,115.0,7.0,50 g,2.16,./personalcarebeauty_files/JAN140000400xx11JAN22_5_P.jpg,False
Aqualogica Hydrate+ Face Wash - Coconut Water & Hyaluronic Acid : 100 ml,Uncategorized,,249.0,249.0,30.0,100 ml,2.19,./personalcarebeauty_files/MAR140005561xx21MAR24_5_P.jpg,False
The Face Shop Rice Water Bright Light Cleansing Oil : 55 ml,Lighting & Electrical,light,549.0,549.0,300.0,55 ml,4.53,./personalcarebeauty_files/JUL140005764xx10JUL24_5_P.jpg,False
Nature's Essence Lacto Bleach : 48 gm,Uncategorized,,100.0,100.0,40.0,48 g,1.25,./personalcarebeauty_files/FEB140004498xx2FEB23_5_P.jpg,False
Wow Anti-Acne Face Wash : 100 ml,Uncategorized,,249.0,249.0,88.0,100 ml,1.61,./personalcarebeauty_files/MAY140005653xx23MAY24_5_P.jpg,False
Clensta Acne Control Face Wash Multani Mitti With 1% Salicylic Acid : 100 ml,Uncategorized,,249.0,249.0,129.0,100 g,1.2,./personalcarebeauty_files/MAY140005646xx13MAY24_5_P.jpg,False
Clensta Red Aloe Vera Skin Glow Face Wash : 100 ml,Uncategorized,,249.0,249.0,125.0,100 ml,1.24,./personalcarebeauty_files/MAY140005642xx13MAY24_5_P.jpg,False
Soulflower Vitamin C Green Tea Foaming Face Wash : 100 ml,Uncategorized,,350.0,350.0,105.0,100 ml,2.45,./personalcarebeauty_files/DEC140004242xx4DEC23_5_P.jpg,False
Neutrogena Hydro Boost Water Gel Cleanser : 145 ml,Uncategorized,,1050.0,1050.0,240.0,145 ml,5.59,./personalcarebeauty_files/JUL140005749xx4JUL24_5_P.jpg,False
Pears Pure & Gentle Facewash : 60 gms,Uncategorized,,160.0,160.0,10.0,60 g,2.5,./personalcarebeauty_files/KFACEWASH60gmDmar2xx140521_5_P.jpg,False
Green Leaf Aloe Face Wash Gel : 120 gms,Uncategorized,,130.0,130.0,50.0,120 g,0.67,./personalcarebeauty_files/JUN140001381xx18JUN24_5_P.jpg,False
Clean & Clear Foaming Face Wash : 50 ml,Uncategorized,,95.0,95.0,6.0,50 ml,1.78,./personalcarebeauty_files/JAN140002041xx29JAN23_5_P.jpg,False
