name,category,subcategory,price,unit,image,status,stock_count
DMart Premia Moong Dal (Pesara Pappu) : 1 kg,Fresh Produce,Vegetables,174.0,1 kg,/api/placeholder/200/200,active,100
Nutraj Cashews : 500 gms,Fresh Produce,Vegetables,699.0,500 g,/api/placeholder/200/200,active,100
Tata Sampann Moong Dal (Pesara Pappu) : 1 kg,Fresh Produce,Vegetables,215.0,1 kg,/api/placeholder/200/200,active,100
Nutraj Cashew Nuts : 1 kg,Fresh Produce,Vegetables,1499.0,1 kg,/api/placeholder/200/200,active,100
DMart Premia Regular Kaju (Cashews) - 320 : 500 gms,Fresh Produce,Vegetables,724.0,500 g,/api/placeholder/200/200,active,100
Kalbavi Popular Cashews : 500  gms,Fresh Produce,Vegetables,649.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Moong Dal Chilti (Pesara Pappu) : 1 kg,Fresh Produce,Vegetables,177.0,1 kg,/api/placeholder/200/200,active,100
ProV Select Cashews : 500 gms,Fresh Produce,Vegetables,849.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Kaju : 500 gms,Fresh Produce,Vegetables,702.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Chowli Premium : 500 gms,Fresh Produce,Vegetables,123.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Chowli Small : 500 gms,Fresh Produce,Vegetables,176.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Kaju Tukda (Cashews) : 200 gms,Fresh Produce,Vegetables,376.0,200 g,/api/placeholder/200/200,active,100
Tata Sampann Moong Chilka (Pesara Pappu) : 500 gms,Fresh Produce,Vegetables,99.0,500 g,/api/placeholder/200/200,active,100
DMart Healthy Choice Unpolished Moong Dal (Pesara Pappu) : 1 kg,Fresh Produce,Vegetables,195.0,1 kg,/api/placeholder/200/200,active,100
Tata Sampann Unpolished Green Moong (Pesara Pappu) : 500 gms,Fresh Produce,Vegetables,98.0,500 g,/api/placeholder/200/200,active,100
Wonderland Cashews : 500 gms,Fresh Produce,Vegetables,770.0,500 g,/api/placeholder/200/200,active,100
Kalbavi Cashews (Kaju) : 500 gms,Fresh Produce,Vegetables,699.0,500 g,/api/placeholder/200/200,active,100
Happilo Whole Cashew Nuts : 500 gms,Fresh Produce,Vegetables,995.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Kaju (240) Special : 200 gms,Fresh Produce,Vegetables,412.0,200 g,/api/placeholder/200/200,active,100
Tata Sampann 100% Organic Unpolished Moong Dal (Pesara Pappu) : 1 kg,Fresh Produce,Vegetables,290.0,1 kg,/api/placeholder/200/200,active,100
Organic Tattva Moong Dal Yellow Split : 1 kg,Fresh Produce,Vegetables,310.0,1 kg,/api/placeholder/200/200,active,100
DMart Premia Chowli Red : 500 gms,Fresh Produce,Vegetables,89.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Premium Kaju (Cashews) - 210 : 200 gms,Fresh Produce,Vegetables,452.0,200 g,/api/placeholder/200/200,active,100
Organic Tattva Moong Dal Whole : 500 gms,Fresh Produce,Vegetables,145.0,500 g,/api/placeholder/200/200,active,100
24 Mantra Organic Moong Dal (Pesara Pappu) : 500 gms,Fresh Produce,Vegetables,170.0,500 g,/api/placeholder/200/200,active,100
Tenali Double Horse Moong Dall : 500 gms,Fresh Produce,Vegetables,85.0,500 g,/api/placeholder/200/200,active,100
Happilo Premium Roasted Cashew Nuts : 200 gms,Fresh Produce,Vegetables,465.0,200 g,/api/placeholder/200/200,active,100
VSR Moong Dal (Pesara Pappu) : 500 gms,Fresh Produce,Vegetables,110.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Ranguni Wal,Fresh Produce,Vegetables,,,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Moong Yellow : 500 gm,Fresh Produce,Vegetables,158.0,500 g,/api/placeholder/200/200,active,100
Tata Sampann Toor Dal (Kandi Pappu) : 1 kg,Fresh Produce,Vegetables,276.0,1 kg,/api/placeholder/200/200,active,100
Nutraj Pista : 400 gms,Fresh Produce,Vegetables,699.0,400 g,/api/placeholder/200/200,active,100
DMart Swaad Pista : 400 gms,Fresh Produce,Vegetables,545.0,400 g,/api/placeholder/200/200,active,100
Tata Sampann 100% Organic Unpolished Toor Dal (Kandi Pappu) : 1 kg,Fresh Produce,Vegetables,370.0,1 kg,/api/placeholder/200/200,active,100
ProV Select California Roasted & Salted Pistachios : 400 gms,Fresh Produce,Vegetables,799.0,400 g,/api/placeholder/200/200,active,100
Organic Tattva Arhar Tur Dal : 1 kg,Fresh Produce,Vegetables,365.0,1 kg,/api/placeholder/200/200,active,100
DMart Premia Pista Plain (Pistachios) : 100 gms,Fresh Produce,Vegetables,333.0,100 g,/api/placeholder/200/200,active,100
Parry's Toor Dal Unpolished : 1 kg,Fresh Produce,Vegetables,280.0,1 kg,/api/placeholder/200/200,active,100
Tenali Double Horse Toor Dall : 1 kgs,Fresh Produce,Vegetables,275.0,1 kg,/api/placeholder/200/200,active,100
Nutraj Premium California Pistachios (Pista) : 200 gms,Fresh Produce,Vegetables,379.0,200 g,/api/placeholder/200/200,active,100
DMart Premia Soyawadi : 200 gms,Fresh Produce,Vegetables,35.0,200 g,/api/placeholder/200/200,active,100
Nutrela Soya Mini Chunks : 200 gms,Fresh Produce,Vegetables,60.0,200 g,/api/placeholder/200/200,active,100
VSR Toor Dal : 2 kgs,Fresh Produce,Vegetables,480.0,2 kg,/api/placeholder/200/200,active,100
Saffola Mealmaker Soya Chunks : 400 gms,Fresh Produce,Vegetables,150.0,400 g,/api/placeholder/200/200,active,100
VSR Toor Dal : 1 kg,Fresh Produce,Vegetables,245.0,1 kg,/api/placeholder/200/200,active,100
Nutrela Soya Chunks : 200 gms,Fresh Produce,Vegetables,60.0,200 g,/api/placeholder/200/200,active,100
DMart Premia Soyabean : 500 gms,Fresh Produce,Vegetables,69.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Mini Soya Chunks : 200 gms,Fresh Produce,Vegetables,38.0,200 g,/api/placeholder/200/200,active,100
Nutraj Iranian Pistachios (Pista) : 200 gms,Fresh Produce,Vegetables,449.0,200 g,/api/placeholder/200/200,active,100
Nutrela Soya Granules : 200 gms,Fresh Produce,Vegetables,60.0,200 g,/api/placeholder/200/200,active,100
24 Mantra Organic Tur Dal (Kandi Pappu) : 500 gms,Fresh Produce,Vegetables,180.0,500 g,/api/placeholder/200/200,active,100
Prov Select California Pistachio Roasted & Salted : 750 g,Fresh Produce,Vegetables,1499.0,750 g,/api/placeholder/200/200,active,100
Nutrela Soya Chunks: 1 kg,Fresh Produce,Vegetables,210.0,1 kg,/api/placeholder/200/200,active,100
Pro Nature Tur Dal Unpolished : 500 g,Fresh Produce,Vegetables,176.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Desi Kabuli Chana (Bombai Senagalu) : 1 kg,Fresh Produce,Vegetables,287.0,1 kg,/api/placeholder/200/200,active,100
Tata Sampann Urad Dal (Minapa pappu) : 1 kg,Fresh Produce,Vegetables,249.0,1 kg,/api/placeholder/200/200,active,100
Tenali Double Horse Urad Dal (Minapa Pappu) : 1 kg,Fresh Produce,Vegetables,190.0,1 kg,/api/placeholder/200/200,active,100
Nutraj Arabian Premium Dates : 500 gms,Fresh Produce,Vegetables,199.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Udid Dal Chilti (Minapa pappu) : 500 gms,Fresh Produce,Vegetables,105.0,500 g,/api/placeholder/200/200,active,100
Shamim Iranian Wet Dates : 400 gms,Fresh Produce,Vegetables,210.0,400 g,/api/placeholder/200/200,active,100
DMart Premia Urad Whole Premium : 1 Kg,Fresh Produce,Vegetables,237.0,1 kg,/api/placeholder/200/200,active,100
Date Crown Fard (Khajur) : 500 gms,Fresh Produce,Vegetables,315.0,500 g,/api/placeholder/200/200,active,100
Kimia Seeded Dates : 400 gms,Fresh Produce,Vegetables,310.0,400 g,/api/placeholder/200/200,active,100
Organic Tattva Kabuli Chana : 500 gms,Fresh Produce,Vegetables,199.0,500 g,/api/placeholder/200/200,active,100
Nutraj Kimia Dates : 400 gm,Fresh Produce,Vegetables,399.0,400 g,/api/placeholder/200/200,active,100
Date Crown Khenaizi (Khajur) : 500 gms,Fresh Produce,Vegetables,279.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Red Dried Dates (Kharik) : 100 gms,Fresh Produce,Vegetables,89.0,100 g,/api/placeholder/200/200,active,100
Nutraj Kalmi Dates (Safawi) : 500 gms,Fresh Produce,Vegetables,749.0,500 g,/api/placeholder/200/200,active,100
Vijayalakshmi Deer Urad Dal (Minapa pappu) : 1 kg,Fresh Produce,Vegetables,198.0,1 kg,/api/placeholder/200/200,active,100
Farmley Dates Bites : 18 gms,Fresh Produce,Vegetables,40.0,18 g,/api/placeholder/200/200,active,100
Lion Deseeded Dates (Khajur) : 500 gms,Fresh Produce,Vegetables,145.0,500 g,/api/placeholder/200/200,active,100
Royal Crown Arabian Delight Luxury Dates : 500 gm,Fresh Produce,Vegetables,270.0,500 g,/api/placeholder/200/200,active,100
Nutraj Dry Dates (Yellow) Chuara-Kharek Pouch : 500 gms,Fresh Produce,Vegetables,299.0,500 g,/api/placeholder/200/200,active,100
Date Crown Kalmi Safawi Dates : 500 gms,Fresh Produce,Vegetables,400.0,500 g,/api/placeholder/200/200,active,100
Date Crown Bumaan Dates : 500 gms,Fresh Produce,Vegetables,155.0,500 g,/api/placeholder/200/200,active,100
Organic Tattva Urad Dal Whole White : 500 gms,Fresh Produce,Vegetables,175.0,500 g,/api/placeholder/200/200,active,100
Emperor Dates Iranian Muzafati : 400 gms,Fresh Produce,Vegetables,200.0,400 g,/api/placeholder/200/200,active,100
Emperor Royal Peacock Seeded Dates (Khajur) : 500 gms,Fresh Produce,Vegetables,130.0,500 g,/api/placeholder/200/200,active,100
Parry's Urad Dal Whole : 1 kg,Fresh Produce,Vegetables,210.0,1 kg,/api/placeholder/200/200,active,100
Apis Classic Dates : 500 gms,Fresh Produce,Vegetables,180.0,500 g,/api/placeholder/200/200,active,100
Tenali Double Horse Urad Dal (Minapa Pappu) : 500 gm,Fresh Produce,Vegetables,98.0,500 g,/api/placeholder/200/200,active,100
Emperor Dates - Deseeded Dates : 500 gms,Fresh Produce,Vegetables,150.0,500 g,/api/placeholder/200/200,active,100
Gulf Finest Classic Dates : 500 gm,Fresh Produce,Vegetables,162.0,500 g,/api/placeholder/200/200,active,100
Emperor Dates - Dates with Seed : 500 gms,Fresh Produce,Vegetables,110.0,500 g,/api/placeholder/200/200,active,100
Lion Layina Seeded Dates : 500 gms,Fresh Produce,Vegetables,114.0,500 g,/api/placeholder/200/200,active,100
Organic Tattva Urad Dal White Split : 500 gms,Fresh Produce,Vegetables,170.0,500 g,/api/placeholder/200/200,active,100
Royal Crown Hand Picked Mazafati Dates : 500 gm,Fresh Produce,Vegetables,261.0,500 g,/api/placeholder/200/200,active,100
VSR Urad Wash Gota (Minapa pappu) : 1 kg,Fresh Produce,Vegetables,209.0,1 kg,/api/placeholder/200/200,active,100
Gulf Zahidi Dates : 500 gm,Fresh Produce,Vegetables,162.0,500 g,/api/placeholder/200/200,active,100
Ziofit Clasic Seedless Sultan Dates : 500 gms,Fresh Produce,Vegetables,265.0,500 g,/api/placeholder/200/200,active,100
VSR Urad Dal (Minapa pappu) : 1 kg,Fresh Produce,Vegetables,202.0,1 kg,/api/placeholder/200/200,active,100
24 Mantra Organic Urad Dal White Whole (Minapa pappu) : 500 gms,Fresh Produce,Vegetables,175.0,500 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Kabuli Chana : 500 gm,Fresh Produce,Vegetables,196.0,500 g,/api/placeholder/200/200,active,100
Apis Deseeded Dates : 500 gms,Fresh Produce,Vegetables,145.0,500 g,/api/placeholder/200/200,active,100
Apis Arabian Pearls Premium Fard Dates : 500 gms,Fresh Produce,Vegetables,249.0,500 g,/api/placeholder/200/200,active,100
VSR Urad Dal (Minapa pappu) : 500 gms,Fresh Produce,Vegetables,98.0,500 g,/api/placeholder/200/200,active,100
24 Mantra Organic Urad Black Dal Whole (Minapa pappu) : 500 gms,Fresh Produce,Vegetables,175.0,500 g,/api/placeholder/200/200,active,100
24 Mantra Organic Urad Dal White Split (Minapa pappu) : 500 gms,Fresh Produce,Vegetables,175.0,500 g,/api/placeholder/200/200,active,100
Apis Select Dates : 500 gms,Fresh Produce,Vegetables,299.0,500 g,/api/placeholder/200/200,active,100
Tenali Double Horse Black Gram Rounds : 1 kg,Fresh Produce,Vegetables,170.0,1 kg,/api/placeholder/200/200,active,100
Lion Dates : 500 gms,Fresh Produce,Vegetables,136.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Chana Green (Senagalu) : 500 gms,Fresh Produce,Vegetables,85.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Kismis Selected : 100 gms,Fresh Produce,Vegetables,113.0,100 g,/api/placeholder/200/200,active,100
Mahafruit Long Seedless Kishmish : 500 gms,Fresh Produce,Vegetables,199.0,500 g,/api/placeholder/200/200,active,100
Happilo Premium Afghani Seedless Black Raisins : 250 gms,Fresh Produce,Vegetables,315.0,250 g,/api/placeholder/200/200,active,100
Happilo Seedless Green Raisins : 250 gms,Fresh Produce,Vegetables,165.0,250 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Kala Channa : 500 gm,Fresh Produce,Vegetables,119.0,500 g,/api/placeholder/200/200,active,100
Organic Tattva Masoor Malka Split : 500 gms,Fresh Produce,Vegetables,140.0,500 g,/api/placeholder/200/200,active,100
Nutraj Daily Walnut Kernels : 500 gms,Fresh Produce,Vegetables,899.0,500 g,/api/placeholder/200/200,active,100
Tenali Double Horse Urad Gota : 1 kg,Fresh Produce,Vegetables,215.0,1 kg,/api/placeholder/200/200,active,100
DMart Premia Daliya: 500 gm,Fresh Produce,Vegetables,110.0,500 g,/api/placeholder/200/200,active,100
Nutraj California Walnut Kernels (Akrod Magaj) : 250 gms,Fresh Produce,Vegetables,499.0,250 g,/api/placeholder/200/200,active,100
Nutraj California Whole Walnut (Akrod) : 1 kg,Fresh Produce,Vegetables,999.0,,/api/placeholder/200/200,active,100
DMart Premia Akrod Magaj (Walnut Kernels) : 100 gms,Fresh Produce,Vegetables,308.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Udid (Minapa pappu) : 1 kg,Fresh Produce,Vegetables,203.0,1 kg,/api/placeholder/200/200,active,100
Nutraj Kashmir Walnut Kernels : 250 gms,Fresh Produce,Vegetables,399.0,250 g,/api/placeholder/200/200,active,100
Ziofit California Walnut Kernels : 200 gms,Fresh Produce,Vegetables,585.0,200 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Daliya (Broken Wheat) : 500 gm,Fresh Produce,Vegetables,72.0,500 g,/api/placeholder/200/200,active,100
Pro Nature Organic Urad Black Whole : 500 g,Fresh Produce,Vegetables,149.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Moong Whole: 1 Kg,Fresh Produce,Vegetables,188.0,1 kg,/api/placeholder/200/200,active,100
DMart Premia Mix Dal : 1 kg,Fresh Produce,Vegetables,200.0,1 kg,/api/placeholder/200/200,active,100
DMart Premia Vatana Black,Fresh Produce,Vegetables,,,/api/placeholder/200/200,active,100
DMart Premia Matki : 500 gms,Fresh Produce,Vegetables,66.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Masoor Whole (Erra gullu) : 500 gms,Fresh Produce,Vegetables,68.0,500 g,/api/placeholder/200/200,active,100
Farmley Panchmeva Mix Dryfruit : 425 gm,Fresh Produce,Vegetables,599.0,425 g,/api/placeholder/200/200,active,100
DMart Premia Mixed Dry Fruits : 500 gms,Fresh Produce,Vegetables,368.0,500 g,/api/placeholder/200/200,active,100
Farmley Berry Mix : 200 g,Fresh Produce,Vegetables,349.0,200 g,/api/placeholder/200/200,active,100
Farmley Seed Mix : 200 g,Fresh Produce,Vegetables,229.0,200 g,/api/placeholder/200/200,active,100
Farmley Snack Mix Mexican Peri-Peri : 405 g,Fresh Produce,Vegetables,499.0,405 g,/api/placeholder/200/200,active,100
Farmley Trail Mix : 200 g,Fresh Produce,Vegetables,349.0,200 g,/api/placeholder/200/200,active,100
DMart Premia Nuts & Seeds Mix : 100 gm,Fresh Produce,Vegetables,120.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Trail Mix : 100 gm,Fresh Produce,Vegetables,125.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Breakfast Mix : 100 gm,Fresh Produce,Vegetables,120.0,100 g,/api/placeholder/200/200,active,100
Happilo Healthy Nutmix : 350 gms,Fresh Produce,Vegetables,599.0,350 g,/api/placeholder/200/200,active,100
DMart Premia Vatana Green : 500 gms,Fresh Produce,Vegetables,190.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Makhana : 200 gms,Fresh Produce,Vegetables,594.0,200 g,/api/placeholder/200/200,active,100
Farmley Prasadam Makhana Pouch : 200 gms,Fresh Produce,Vegetables,595.0,,/api/placeholder/200/200,active,100
Farmley Himalayan Salted Makhana Jar : 83 gms,Fresh Produce,Vegetables,259.0,83 g,/api/placeholder/200/200,active,100
DMart Premia Wal,Fresh Produce,Vegetables,,,/api/placeholder/200/200,active,100
Farmley Peri Peri Makhana Jar : 83 gms,Fresh Produce,Vegetables,259.0,83 g,/api/placeholder/200/200,active,100
DMart Premia Mix Chana-Vatna (Sprout) : 500 gms,Fresh Produce,Vegetables,96.0,500 g,/api/placeholder/200/200,active,100
Farmley Cream & Onion Makhana Jar : 83 gms,Fresh Produce,Vegetables,259.0,83 g,/api/placeholder/200/200,active,100
DMart Premia Mix Pulse (Sprout) : 500 gms,Fresh Produce,Vegetables,95.0,500 g,/api/placeholder/200/200,active,100
Farmley Tangy Tomato Makhana Jar : 83 gms,Fresh Produce,Vegetables,259.0,83 g,/api/placeholder/200/200,active,100
Farmley Minty Pudina Makhana Jar : 83 gms,Fresh Produce,Vegetables,259.0,83 g,/api/placeholder/200/200,active,100
Farmley Cheese & Herbs Makhana : 83 gm,Fresh Produce,Vegetables,259.0,83 g,/api/placeholder/200/200,active,100
Khetika Naturale Premium Raw Makhana : 250 g,Fresh Produce,Vegetables,449.0,250 g,/api/placeholder/200/200,active,100
Nutraj Dried Figs (Anjeer) : 500 gms,Fresh Produce,Vegetables,899.0,500 g,/api/placeholder/200/200,active,100
Healthy Crunch Anjeer (Figs) : 250 gms,Fresh Produce,Vegetables,375.0,250 g,/api/placeholder/200/200,active,100
DMart Premia Groundnut (Veru Senega/Palleelu) : 1 kg,Fresh Produce,Vegetables,205.0,1 kg,/api/placeholder/200/200,active,100
Organic Tattva Groundnuts (Peanuts) : 500 gms,Fresh Produce,Vegetables,185.0,500 g,/api/placeholder/200/200,active,100
VSR Raw Peanut (Veru Senega/Palleelu) : 1 kg,Fresh Produce,Vegetables,238.0,1 kg,/api/placeholder/200/200,active,100
VSR Raw Peanut (Veru Senega/Palleelu) : 500 gms,Fresh Produce,Vegetables,120.0,500 g,/api/placeholder/200/200,active,100
Pro Nature Organic Raw Peanuts : 1 kg,Fresh Produce,Vegetables,336.0,1 kg,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Raw Peanuts : 500 gm,Fresh Produce,Vegetables,174.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Sugar : 5 kgs,Fresh Produce,Vegetables,264.0,5 kg,/api/placeholder/200/200,active,100
DMart Premia Jeera (Jeelakarra) : 200 gms,Fresh Produce,Vegetables,112.0,200 g,/api/placeholder/200/200,active,100
DMart Premia Poha Jada (Atukulu) : 1 kg,Fresh Produce,Vegetables,85.0,1 kg,/api/placeholder/200/200,active,100
Premium Jaggery : 900 gms,Fresh Produce,Vegetables,90.0,900 g,/api/placeholder/200/200,active,100
DMart Premia Green Elaichi (Elakulu) : 50 gms,Fresh Produce,Vegetables,354.0,50 g,/api/placeholder/200/200,active,100
DMart Premia Sabudana : 1 kg,Fresh Produce,Vegetables,82.0,1 kg,/api/placeholder/200/200,active,100
DMart Premia Green Elaichi Economy (Elakulu) : 10 gms,Fresh Produce,Vegetables,60.0,10 g,/api/placeholder/200/200,active,100
DMart Premia Black Pepper : 100 gms,Fresh Produce,Vegetables,158.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Til White (Nuvvulu) : 100 gms,Fresh Produce,Vegetables,33.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Kashmiri Chilli Powder Deluxe : 200 gms,Fresh Produce,Vegetables,164.0,200 g,/api/placeholder/200/200,active,100
Keshar Premium Natural Jaggery Jar : 800 gms,Fresh Produce,Vegetables,125.0,800 g,/api/placeholder/200/200,active,100
DMart Premia Dry Coconut : 500 gms,Fresh Produce,Vegetables,250.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Badishep : 200 gms,Fresh Produce,Vegetables,123.0,200 g,/api/placeholder/200/200,active,100
DMart Premia Poha Patla (Atukulu) : 500 gms,Fresh Produce,Vegetables,52.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Khaskhas (Gasagasaalu) : 100 gms,Fresh Produce,Vegetables,205.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Dhaniya : 400 gms,Fresh Produce,Vegetables,146.0,400 g,/api/placeholder/200/200,active,100
DMart Premia Haldi Powder Deluxe (Pasupu) : 200 gms,Fresh Produce,Vegetables,78.0,200 g,/api/placeholder/200/200,active,100
DMart Premia Coconut Powder : 200 gms,Fresh Produce,Vegetables,112.0,200 g,/api/placeholder/200/200,active,100
DMart Premia Dhania Powder Deluxe : 1 kg,Fresh Produce,Vegetables,200.0,1 kg,/api/placeholder/200/200,active,100
DMart Premia Lukhnowi Badishep : 100 gms,Fresh Produce,Vegetables,60.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Cassia Taj (Dalchina chekka) : 100 gms,Fresh Produce,Vegetables,93.0,100 g,/api/placeholder/200/200,active,100
Mamra - Puffed Rice (Murmuralu) : 500 gms,Fresh Produce,Vegetables,60.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Ajma (Vamu) : 100 gm,Fresh Produce,Vegetables,53.0,100 g,/api/placeholder/200/200,active,100
Jaggery : 900 gms,Fresh Produce,Vegetables,90.0,900 g,/api/placeholder/200/200,active,100
DMart Premia Kasoori Methi (Menthulu) : 100 gms,Fresh Produce,Vegetables,89.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Lawang : 20 gms,Fresh Produce,Vegetables,43.0,20 g,/api/placeholder/200/200,active,100
Farmley Cream & Onion Makhana Jar : 83 gms,Fresh Produce,Vegetables,259.0,83 g,/api/placeholder/200/200,active,100
DMart Premia Mix Pulse (Sprout) : 500 gms,Fresh Produce,Vegetables,95.0,500 g,/api/placeholder/200/200,active,100
Farmley Tangy Tomato Makhana Jar : 83 gms,Fresh Produce,Vegetables,259.0,83 g,/api/placeholder/200/200,active,100
Farmley Minty Pudina Makhana Jar : 83 gms,Fresh Produce,Vegetables,259.0,83 g,/api/placeholder/200/200,active,100
Farmley Cheese & Herbs Makhana : 83 gm,Fresh Produce,Vegetables,259.0,83 g,/api/placeholder/200/200,active,100
Khetika Naturale Premium Raw Makhana : 250 g,Fresh Produce,Vegetables,449.0,250 g,/api/placeholder/200/200,active,100
Nutraj Dried Figs (Anjeer) : 500 gms,Fresh Produce,Vegetables,899.0,500 g,/api/placeholder/200/200,active,100
Healthy Crunch Anjeer (Figs) : 250 gms,Fresh Produce,Vegetables,375.0,250 g,/api/placeholder/200/200,active,100
DMart Premia Groundnut (Veru Senega/Palleelu) : 1 kg,Fresh Produce,Vegetables,205.0,1 kg,/api/placeholder/200/200,active,100
Organic Tattva Groundnuts (Peanuts) : 500 gms,Fresh Produce,Vegetables,185.0,500 g,/api/placeholder/200/200,active,100
VSR Raw Peanut (Veru Senega/Palleelu) : 1 kg,Fresh Produce,Vegetables,238.0,1 kg,/api/placeholder/200/200,active,100
VSR Raw Peanut (Veru Senega/Palleelu) : 500 gms,Fresh Produce,Vegetables,120.0,500 g,/api/placeholder/200/200,active,100
Pro Nature Organic Raw Peanuts : 1 kg,Fresh Produce,Vegetables,336.0,1 kg,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Raw Peanuts : 500 gm,Fresh Produce,Vegetables,174.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Sugar : 5 kgs,Fresh Produce,Vegetables,264.0,5 kg,/api/placeholder/200/200,active,100
DMart Premia Jeera (Jeelakarra) : 200 gms,Fresh Produce,Vegetables,112.0,200 g,/api/placeholder/200/200,active,100
DMart Premia Poha Jada (Atukulu) : 1 kg,Fresh Produce,Vegetables,85.0,1 kg,/api/placeholder/200/200,active,100
Premium Jaggery : 900 gms,Fresh Produce,Vegetables,90.0,900 g,/api/placeholder/200/200,active,100
DMart Premia Green Elaichi (Elakulu) : 50 gms,Fresh Produce,Vegetables,354.0,50 g,/api/placeholder/200/200,active,100
DMart Premia Sabudana : 1 kg,Fresh Produce,Vegetables,82.0,1 kg,/api/placeholder/200/200,active,100
DMart Premia Green Elaichi Economy (Elakulu) : 10 gms,Fresh Produce,Vegetables,60.0,10 g,/api/placeholder/200/200,active,100
DMart Premia Black Pepper : 100 gms,Fresh Produce,Vegetables,158.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Til White (Nuvvulu) : 100 gms,Fresh Produce,Vegetables,33.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Kashmiri Chilli Powder Deluxe : 200 gms,Fresh Produce,Vegetables,164.0,200 g,/api/placeholder/200/200,active,100
