name,category,subcategory,price,unit,image,status,stock_count
VSR Kurnool Rice : 5 kgs,Rice & Rice Products,rice,490.0,5 kg,/api/placeholder/200/200,active,100
Tata Sampann Poha (Atukulu) : 500 gms,Rice & Rice Products,poha,53.0,500 g,/api/placeholder/200/200,active,100
Organic Tattva Red Poha : 500 gms,Rice & Rice Products,poha,99.0,500 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Red Beaten Rice (Red Poha) : 500 gm,Rice & Rice Products,rice,89.0,500 g,/api/placeholder/200/200,active,100
24 Mantra Organic Poha (Atukulu) : 500 gms,Rice & Rice Products,poha,85.0,500 g,/api/placeholder/200/200,active,100
Vijay Premium Murmura (Puffed Rice) : 500 gms,Rice & Rice Products,rice,60.0,500 g,/api/placeholder/200/200,active,100
Farmley Premium Pumpkin Seeds : 200 gms,DMart Grocery,premia,259.0,200 g,/api/placeholder/200/200,active,100
Farmley Premium Sunflower Seeds : 200 gms,Cooking Oil,sunflower,159.0,200 g,/api/placeholder/200/200,active,100
Nutraj Cardamom  (Elaichi) : 50 gm,Dals & Pulses,dal,300.0,50 g,/api/placeholder/200/200,active,100
DMart Premia Grated Dry Coconut : 200 gms,DMart Grocery,dmart,114.0,200 g,/api/placeholder/200/200,active,100
Farmley Premium Chia Seeds : 200 gms,DMart Grocery,premia,199.0,200 g,/api/placeholder/200/200,active,100
DMart Premia Ajma (Vamu) : 200 gms,DMart Grocery,dmart,104.0,200 g,/api/placeholder/200/200,active,100
Tamarind : 500 gms,DMart Grocery,dmart,110.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Chilli Guntur Stemless : 100 gms,DMart Grocery,dmart,53.0,100 g,/api/placeholder/200/200,active,100
Kitchen King Imli (Chinthapandu) : 500 gms,Cooking Oil,oil,125.0,500 g,/api/placeholder/200/200,active,100
Granny's Cake Tamarind : 1 kg,Flours & Grains,grain,246.0,1 kg,/api/placeholder/200/200,active,100
Kitchen King Emli (Chinthapandu) : 1 kg,Dals & Pulses,lentil,240.0,1 kg,/api/placeholder/200/200,active,100
Granny's Cake Tamarind : 500 gms,Flours & Grains,grain,124.0,500 g,/api/placeholder/200/200,active,100
Everest Saffron (Kesar) : 0.5 gms,Salt/Sugar/Jaggery,sugar,210.0,5 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Black Pepper (Whole) : 100 gm,Masala & Spices,pepper,210.0,100 g,/api/placeholder/200/200,active,100
Ready Tamarind : 500 gms,DMart Grocery,dmart,155.0,500 g,/api/placeholder/200/200,active,100
Ready Tamarind : 1 kg,DMart Grocery,dmart,308.0,1 kg,/api/placeholder/200/200,active,100
Nutraj Cardamom  (Elaichi) : 20 gm,Dals & Pulses,dal,120.0,20 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Mustard (Small) : 200 gm,Cooking Oil,mustard,84.0,200 g,/api/placeholder/200/200,active,100
Pro Nature Classic Sesame (White Natural) : 200 gm,Dals & Pulses,dal,142.0,200 g,/api/placeholder/200/200,active,100
Pro Nature Red Chilli Whole Hot : 100 g,Masala & Spices,chilli,146.0,100 g,/api/placeholder/200/200,active,100
Pro Nature Cumin Whole : 250 g,Cooking Oil,oil,375.0,250 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Fenugreek (Methi) : 200 gm,Ghee & Vanaspati,ghee,86.0,200 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Cinnamon Bark : 50 gm,Dry Fruits,almond,85.0,50 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Cumin (Whole) : 100 gm,Cooking Oil,oil,176.0,100 g,/api/placeholder/200/200,active,100
Pro Nature 100% Organic Coriander (Whole) : 200 gm,Cooking Oil,oil,119.0,200 g,/api/placeholder/200/200,active,100
Farmley Chia Seeds : 1 kg,Dry Fruits,cashew,1199.0,1 kg,/api/placeholder/200/200,active,100
Nutraj Pumpkin Seeds Pouch : 100 g,DMart Grocery,premia,99.0,100 g,/api/placeholder/200/200,active,100
Nutraj Watermelon Seeds Pouch : 100 g,Dry Fruits,dates,149.0,100 g,/api/placeholder/200/200,active,100
Farmley Quinoa Seeds (Ready to Cook) : 500 g,DMart Grocery,premia,300.0,500 g,/api/placeholder/200/200,active,100
Pro Nature Cardamom (Small) : 50 g,Salt/Sugar/Jaggery,salt,465.0,50 g,/api/placeholder/200/200,active,100
Everest Tikhalal Chilli Powder : 200 gms,Masala & Spices,chilli,120.0,200 g,/api/placeholder/200/200,active,100
DMart Premia Extra Strong Hing Powder : 100 gms,DMart Grocery,dmart,190.0,100 g,/api/placeholder/200/200,active,100
Everest Garam Masala : 100 gms,Masala & Spices,masala,100.0,100 g,/api/placeholder/200/200,active,100
Everest Turmeric Powder : 200 gms,Masala & Spices,turmeric,92.0,200 g,/api/placeholder/200/200,active,100
Everest Kitchen King Masala : 100 gms,Masala & Spices,masala,90.0,100 g,/api/placeholder/200/200,active,100
LG Hing : 100 gms,Flours & Grains,grain,182.0,100 g,/api/placeholder/200/200,active,100
Everest Shahi Biryani Masala : 50 gms,Masala & Spices,masala,83.0,50 g,/api/placeholder/200/200,active,100
Everest Coriander Powder : 500 gms,Cooking Oil,oil,190.0,500 g,/api/placeholder/200/200,active,100
DMart Healthy Choice Roasted Watermelon Seeds : 100 gms,DMart Grocery,dmart,225.0,100 g,/api/placeholder/200/200,active,100
Everest Chhole Masala : 100 gms,Masala & Spices,masala,88.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Red Chilli Powder : 200 gms,DMart Grocery,dmart,91.0,200 g,/api/placeholder/200/200,active,100
DMart Healthy Choice Roasted Pumpkin Seeds : 100 gms,DMart Grocery,dmart,168.0,100 g,/api/placeholder/200/200,active,100
Aashirvaad Chilli Powder : 500 gms,Masala & Spices,chilli,250.0,500 g,/api/placeholder/200/200,active,100
MTR Sambar Powder : 200 gms,DMart Grocery,dmart,150.0,200 g,/api/placeholder/200/200,active,100
Everest Chicken Masala : 50 gms,Masala & Spices,masala,48.0,50 g,/api/placeholder/200/200,active,100
Everest Sambhar Masala : 50 gms,Masala & Spices,masala,42.0,50 g,/api/placeholder/200/200,active,100
Everest Yellow Hing Powder : 100 gms,Cooking Oil,sunflower,190.0,100 g,/api/placeholder/200/200,active,100
DMart Healthy Choice Chia Seeds : 100 gms,DMart Grocery,dmart,132.0,100 g,/api/placeholder/200/200,active,100
Everest Meat Masala : 100 gms,Masala & Spices,masala,92.0,100 g,/api/placeholder/200/200,active,100
DMart Healthy Choice Roasted Sunflower Seeds : 100 gms,DMart Grocery,dmart,103.0,100 g,/api/placeholder/200/200,active,100
Jalaram Brand Cardamom Powder : 20 gms,Dals & Pulses,dal,140.0,20 g,/api/placeholder/200/200,active,100
Aachi Chicken Masala Powder : 100 gms,Masala & Spices,masala,50.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Garam Masala Whole  : 100 gms,DMart Grocery,dmart,136.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Amchur : 100 gms,DMart Grocery,dmart,43.0,100 g,/api/placeholder/200/200,active,100
MTR Puliogare Powder : 100 gms,Dals & Pulses,pulse,70.0,100 g,/api/placeholder/200/200,active,100
MTR Chilli Powder : 500 gms,Masala & Spices,chilli,250.0,500 g,/api/placeholder/200/200,active,100
Everest Tandoori Chicken Masala : 100 gms,Masala & Spices,masala,92.0,100 g,/api/placeholder/200/200,active,100
Swastik Mirch Powder : 500 gms,Flours & Grains,wheat,205.0,500 g,/api/placeholder/200/200,active,100
Aashirvaad Turmeric Powder : 200 gms,Masala & Spices,turmeric,80.0,200 g,/api/placeholder/200/200,active,100
Everest Black Pepper Powder : 50 gms,Masala & Spices,pepper,78.0,50 g,/api/placeholder/200/200,active,100
Aachi Garam Masala Powder : 50 gms,Masala & Spices,masala,34.0,50 g,/api/placeholder/200/200,active,100
Everest Dry Mango Powder : 100 gms,DMart Grocery,premia,96.0,100 g,/api/placeholder/200/200,active,100
Everest Pani Puri Masala : 50 gms,Masala & Spices,masala,40.0,50 g,/api/placeholder/200/200,active,100
Everest Sabji Masala : 50 gms,Masala & Spices,masala,38.0,50 g,/api/placeholder/200/200,active,100
Everest Hingraj Powder : 50 gms,Flours & Grains,grain,143.0,50 g,/api/placeholder/200/200,active,100
MTR Rasam Powder : 100 gms,Dry Fruits,almond,85.0,100 g,/api/placeholder/200/200,active,100
Aachi Sambar Powder : 100 gms,DMart Grocery,dmart,46.0,100 g,/api/placeholder/200/200,active,100
Surya Chilli Powder : 500 gms,Masala & Spices,chilli,260.0,500 g,/api/placeholder/200/200,active,100
Eastern Turmeric Powder : 500 gms,Masala & Spices,turmeric,185.0,500 g,/api/placeholder/200/200,active,100
Three Mango Pickle Mirch Powder : 500 gms,Ghee & Vanaspati,ghee,408.0,500 g,/api/placeholder/200/200,active,100
Surya Turmeric Powder : 500 gms,Masala & Spices,turmeric,210.0,500 g,/api/placeholder/200/200,active,100
Bambino Red Chilli Powder : 500 gms,Masala & Spices,chilli,280.0,500 g,/api/placeholder/200/200,active,100
MTR Spicy Sambar Masala Powder : 200 gms,Masala & Spices,masala,150.0,200 g,/api/placeholder/200/200,active,100
Goldiee Red Chilli Powder Pouch : 500 gms,Masala & Spices,chilli,163.0,500 g,/api/placeholder/200/200,active,100
Eastern Chilli Powder : 500 gms,Masala & Spices,chilli,250.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Chaat Masala : 100 gms,DMart Grocery,dmart,44.0,100 g,/api/placeholder/200/200,active,100
Everest Hingraj Powder Red : 100 gms,Flours & Grains,grain,275.0,100 g,/api/placeholder/200/200,active,100
Goldiee Turmeric Powder Pouch : 500 gms,Masala & Spices,turmeric,189.0,500 g,/api/placeholder/200/200,active,100
Aachi Cooking Turmeric Powder : 100 gms,Masala & Spices,turmeric,42.0,100 g,/api/placeholder/200/200,active,100
Jalaram Brand Cinnamon Powder : 50 gms,Dals & Pulses,dal,75.0,50 g,/api/placeholder/200/200,active,100
Aachi Biriyani Masala Powder : 50 gms,Masala & Spices,masala,38.0,50 g,/api/placeholder/200/200,active,100
MTR Special Garam Masala : 50 gms,Masala & Spices,masala,55.0,50 g,/api/placeholder/200/200,active,100
Goldiee Kashmiri Mirch Powder : 100 gms,Cooking Oil,olive,110.0,100 g,/api/placeholder/200/200,active,100
Aashirvaad Masala Karam : 200 gm,Masala & Spices,masala,150.0,200 g,/api/placeholder/200/200,active,100
Aashirvaad Coriander Powder : 500 gms,Cooking Oil,oil,230.0,500 g,/api/placeholder/200/200,active,100
Jalaram Brand Black Pepper Powder : 50 gms,Masala & Spices,pepper,85.0,50 g,/api/placeholder/200/200,active,100
DMart Premia Chicken Masala : 100 gms,DMart Grocery,dmart,46.0,100 g,/api/placeholder/200/200,active,100
Goldiee Coriander Powder Pouch : 500 gms,Cooking Oil,olive,114.0,500 g,/api/placeholder/200/200,active,100
Snapin Cardamom Powder : 15 gm,Dals & Pulses,dal,59.0,15 g,/api/placeholder/200/200,active,100
Jalaram Brand Tea Masala with Saffron : 20 gms,Masala & Spices,masala,60.0,20 g,/api/placeholder/200/200,active,100
Rajini Tamarind Cake : 500 gms,Flours & Grains,grain,191.0,500 g,/api/placeholder/200/200,active,100
Swastik Haldi Powder : 500 gms,Dals & Pulses,dal,208.0,500 g,/api/placeholder/200/200,active,100
Goldiee Garam Masala : 100 gms,Masala & Spices,masala,102.0,100 g,/api/placeholder/200/200,active,100
Surya Coriander Powder : 500 gms,Cooking Oil,oil,200.0,500 g,/api/placeholder/200/200,active,100
Goldiee Chat Masala : 100 gms,Masala & Spices,masala,72.0,100 g,/api/placeholder/200/200,active,100
Goldiee Chicken Masala : 100 gms,Masala & Spices,masala,82.0,100 g,/api/placeholder/200/200,active,100
Shan Tandoori Barbeque Masala : 50 gms,Masala & Spices,masala,90.0,50 g,/api/placeholder/200/200,active,100
Shan Chicken Masala : 50 gms,Masala & Spices,masala,90.0,50 g,/api/placeholder/200/200,active,100
Goldiee Kitchen King Masala : 100 gms,Masala & Spices,masala,88.0,100 g,/api/placeholder/200/200,active,100
Goldiee Pavbhaji Masala : 100 gms,Masala & Spices,masala,82.0,100 g,/api/placeholder/200/200,active,100
Shan Nihari Masala : 60 gms,Masala & Spices,masala,90.0,60 g,/api/placeholder/200/200,active,100
Goldiee Sabji Masala : 100 gms,Masala & Spices,masala,64.0,100 g,/api/placeholder/200/200,active,100
DMart Premia Sambar Powder : 100 gms,DMart Grocery,dmart,38.0,100 g,/api/placeholder/200/200,active,100
Shan Chicken Tikka Masala : 50 gms,Masala & Spices,masala,90.0,50 g,/api/placeholder/200/200,active,100
Shan Korma Masala : 50 gms,Masala & Spices,masala,90.0,50 g,/api/placeholder/200/200,active,100
Goldiee Meat Masala Special : 100 gms,Masala & Spices,masala,86.0,100 g,/api/placeholder/200/200,active,100
Goldiee Chhole Masala : 100 gms,Masala & Spices,masala,88.0,100 g,/api/placeholder/200/200,active,100
Swastik Dhania Powder : 500 gms,Dals & Pulses,dal,158.0,500 g,/api/placeholder/200/200,active,100
Snapin Cinnamon Powder : 25 gm,Dry Fruits,almond,49.0,25 g,/api/placeholder/200/200,active,100
Surya Garam Masala : 50 gms,Masala & Spices,masala,46.0,50 g,/api/placeholder/200/200,active,100
Shan Achar Gosht Masala : 50 gms,Masala & Spices,masala,90.0,50 g,/api/placeholder/200/200,active,100
Shan Karahi Gosht Masala : 50 gms,Masala & Spices,masala,90.0,50 g,/api/placeholder/200/200,active,100
Tata Sampann Garam Masala : 100 gms,Masala & Spices,masala,105.0,100 g,/api/placeholder/200/200,active,100
Shan Tikka Masala : 50 gms,Masala & Spices,masala,90.0,50 g,/api/placeholder/200/200,active,100
Surya Chicken Masala : 50 gms,Masala & Spices,masala,46.0,50 g,/api/placeholder/200/200,active,100
Snapin Kashmiri Chilli Paprika : 40 gms,Masala & Spices,chilli,99.0,40 g,/api/placeholder/200/200,active,100
TDH Rishika Karvepaku Kara Podi : 100 gm,Cooking Oil,oil,64.0,100 g,/api/placeholder/200/200,active,100
Srivari Madras Sambar Masala : 100 gm,Masala & Spices,masala,76.0,100 g,/api/placeholder/200/200,active,100
TDH Rishika Kandi Kara Podi : 100 gm,Cooking Oil,oil,64.0,100 g,/api/placeholder/200/200,active,100
Surya Pani Puri Masala : 50 gms,Masala & Spices,masala,44.0,50 g,/api/placeholder/200/200,active,100
Everest Rasam Masala Powder : 100 gms,Masala & Spices,masala,71.0,100 g,/api/placeholder/200/200,active,100
Srivari Garam Masala : 100 gm,Masala & Spices,masala,90.0,100 g,/api/placeholder/200/200,active,100
Srivari Mutton Masala : 100 gm,Masala & Spices,masala,80.0,100 g,/api/placeholder/200/200,active,100
Srivari Chilli Powder : 500 gm,Masala & Spices,chilli,279.0,500 g,/api/placeholder/200/200,active,100
Srivari Chilli Powder : 200 gm,Masala & Spices,chilli,110.0,200 g,/api/placeholder/200/200,active,100
TDH Rishika Chilli Powder : 500 g,Masala & Spices,chilli,225.0,500 g,/api/placeholder/200/200,active,100
Srivari Turmeric Powder : 200 gm,Masala & Spices,turmeric,105.0,200 g,/api/placeholder/200/200,active,100
Srivari Turmeric Powder : 500 gm,Masala & Spices,turmeric,225.0,500 g,/api/placeholder/200/200,active,100
TDH Rishika Turmaric Powder : 500 g,Masala & Spices,turmeric,180.0,500 g,/api/placeholder/200/200,active,100
Srivari Coriander Powder : 200 gm,Cooking Oil,oil,95.0,200 g,/api/placeholder/200/200,active,100
Srivari Coriander Powder : 500 gm,Cooking Oil,oil,225.0,500 g,/api/placeholder/200/200,active,100
TDH Rishika Coriander Powder : 500 g,Dry Fruits,raisin,120.0,500 g,/api/placeholder/200/200,active,100
Smith & Jones Ginger Garlic Paste : 200 gms,Dals & Pulses,dal,50.0,200 g,/api/placeholder/200/200,active,100
Mother's Recipe Ginger Garlic Paste : 200 gms,Dals & Pulses,dal,50.0,200 g,/api/placeholder/200/200,active,100
Weikfield Baking Powder : 100 gms,Flours & Grains,grain,36.0,100 g,/api/placeholder/200/200,active,100
Mother's Recipe Tamarind Paste : 300 gms,Dals & Pulses,pulse,76.0,300 g,/api/placeholder/200/200,active,100
Mother's Recipe Samosa Chutney : 200 gms,DMart Grocery,premia,60.0,200 g,/api/placeholder/200/200,active,100
Jalaram Kesar (Saffron) : 1 gm,Dals & Pulses,dal,395.0,1 g,/api/placeholder/200/200,active,100
Keya Piri Piri : 80 gms,Dry Fruits,raisin,119.0,80 g,/api/placeholder/200/200,active,100
Keya Wonder Hot Red Chilli Flakes: 40 gms,Masala & Spices,chilli,99.0,40 g,/api/placeholder/200/200,active,100
Keya Oregano : 7 gms,Flours & Grains,grain,109.0,7 g,/api/placeholder/200/200,active,100
DMart Premia Red Chilli Flakes : 50 gms,DMart Grocery,dmart,50.0,50 g,/api/placeholder/200/200,active,100
Snapin Mixed Herbs : 20 gms,Flours & Grains,grain,99.0,20 g,/api/placeholder/200/200,active,100
DMart Premia Oregano Seasoning : 50 g,DMart Grocery,dmart,54.0,50 g,/api/placeholder/200/200,active,100
Keya Pizza Seasoning : 40 gms,Dry Fruits,raisin,139.0,40 g,/api/placeholder/200/200,active,100
Snapin Piri Piri Mix : 50 gms,Flours & Grains,grain,99.0,50 g,/api/placeholder/200/200,active,100
Snapin Cheesy Garlic Bread Mix : 45 gms,Ghee & Vanaspati,ghee,99.0,45 g,/api/placeholder/200/200,active,100
Snapin Regular Oregano Seasoning Sachet : 10 gms,Flours & Grains,wheat,10.0,10 g,/api/placeholder/200/200,active,100
Snapin Regular Chilli Flakes Sachet : 7 gms,Masala & Spices,chilli,10.0,7 g,/api/placeholder/200/200,active,100
Snapin Piri Piri Mix Sachet : 12 gms,Flours & Grains,wheat,10.0,12 g,/api/placeholder/200/200,active,100
Snapin Piri Piri Mix : 15 gms,Flours & Grains,grain,59.0,15 g,/api/placeholder/200/200,active,100
